method,row_type,checkpoint,n_train_seeds,n_eval_seed_bases_per_seed,episodes_per_eval_seed_base,Reward_mean,Reward_std,Processed_mean,Processed_std,Drop_mean,Drop_std,Backlog_mean,Backlog_std,D_sys_mean,D_sys_std,Collision_mean,Collision_std
RelCritic,learned,selected,3.0,3,64,71.0172281411166,0.8239736424865105,0.9106332378161955,0.011913414417461913,0.07277136757510805,0.01209213562216086,4.463106305254282,0.4436917358705772,6.287375183906579,0.5267672028643992,0.005208333333333333,0.0
GlobalCritic,learned,selected,3.0,3,64,47.34894549778093,22.68495966684939,0.7253216308848521,0.15698385307273607,0.23735303543361355,0.13904540683707847,7.536443636091083,2.6858843503181244,16.20950079342916,8.77479758888118,0.03819444444444445,0.0338875369721235
MAPPO-like,learned,selected,3.0,3,64,27.47716866600666,1.5907916279855743,0.5077594731026849,0.028166167661696363,0.3755156600310494,0.017099196471663105,16.74166440983453,0.2655247194505365,37.21285409117388,2.4396768407299807,0.3020833333333333,0.058694935779086695
cluster_center_queue_aware,fixed,fixed,,3,64,50.44828254438471,0.335359255179831,0.8932024265182359,0.007021421203577951,0.079441526034458,0.0053306056851333845,6.178708912102767,0.11536641115269991,8.512473941654628,0.3360439341148677,0.005208333333333333,0.009021097956087904
maxweight_lyapunov,fixed,fixed,,3,64,44.65631763163643,0.558227917966525,0.8452853448087118,0.00719774480941254,0.12417910694608608,0.005775662198460205,7.728779154651954,0.25068373034420927,10.969330898876875,0.6466734387481913,0.0,0.0
observable_cluster_queue_aware,fixed,fixed,,3,64,31.903274184674956,0.8482433921394122,0.6340956336327938,0.0060275912988892715,0.2811022291968476,0.0052774673799889935,10.474792019701384,0.31150063299287045,19.443394840797907,0.7304860811385869,0.24479166666666666,0.009021097956087902
queue_aware_bw,fixed,fixed,,3,64,32.96464970017163,0.462241715190997,0.4740623552009928,0.021570332982378523,0.437514645406746,0.020260837194267217,16.58910953643926,0.7174540129437901,39.70814979702786,4.256462251285661,0.005208333333333333,0.009021097956087904
static_uniform,fixed,fixed,,3,64,33.228889282948025,0.4661509765461166,0.47280663133862744,0.01475280520352413,0.4625712588484993,0.015729132757365705,13.613806173820763,0.5883627451413829,37.05277736449977,4.439453284208995,0.005208333333333333,0.009021097956087904
