update,checkpoint_suffix,episodes,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,fixed_reward_sum,fixed_bw_weighted_workload_delta_sum,fixed_bw_weighted_workload_level_sum,fixed_processed_ratio_eval,fixed_drop_ratio_eval,fixed_pre_backlog_steps_eval,fixed_D_sys_report,fixed_x_acc_mean,fixed_x_rel_mean,fixed_g_pre_mean,fixed_d_pre_mean,fixed_sat_overlap_eval,fixed_collision_episode_fraction,processed_improved,drop_improved,pre_backlog_improved,model_improved,quality_worsened,quality_worse_streak,reward_improved,reward_plateau_streak,collision_gate_passed,quality_early_stop_triggered,reward_early_stop_triggered,early_stop_triggered,method,training_seed,run_label
25,u0025,32.0,31.37455222918652,4575.6535137444735,-371402.222492069,0.233480514999479,0.5195105977701752,46.84355031158776,384.509682535976,0.5175519448746928,0.233480514999479,0.2470110852545531,0.5195105977701752,0.9803333336263896,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
50,u0050,32.0,33.309123267419636,4529.518776103854,-202600.15951399505,0.5007151319616671,0.4184774940290648,29.96690797490503,156.97591365797498,0.5320707772311084,0.5007151319616671,0.0808094656801854,0.4184774940290648,0.9472868645678094,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
75,u0075,32.0,33.95475322660059,4608.883041992784,-178878.69231945276,0.497528943059966,0.3851602189307014,37.718713898509726,96.76627866303178,0.584879034133628,0.497528943059966,0.1173130687133115,0.3851602189307014,0.8707083560489117,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
100,u0100,32.0,37.2267592549324,4375.5032038241625,-90234.50778982045,0.657925177282421,0.2875575280602477,14.72039313033968,35.75407154537737,0.6676295499149713,0.657925177282421,0.054519531676241,0.2875575280602477,0.6500833478104322,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
125,u0125,32.0,38.78819508920424,4085.3783390671015,-65994.65722873807,0.7173514786497691,0.1903353711855234,19.09718302471563,39.56743048366904,0.7899076037481427,0.7173514786497691,0.0923153768625998,0.1903353711855234,0.6517395995873958,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
150,u0150,32.0,43.93498141923919,3922.952321261167,-35863.9642457366,0.8490990573577583,0.1017576360086909,9.533323147127405,18.075247953563927,0.8733577377609909,0.8490990573577583,0.0491455249046539,0.1017576360086909,0.528354179898277,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
175,u0175,32.0,47.99482211191207,3753.14684446156,-27334.10307954997,0.8936812587003224,0.0700270493136431,7.227713909387588,11.47574316928163,0.9098545976057648,0.8936812587003224,0.0362939296112344,0.0700270493136431,0.6572083551771939,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
200,u0200,32.0,48.555593023542315,3858.502753958106,-29911.12415933609,0.8904663599431515,0.0777711950761058,6.831962858598679,9.990647329870608,0.9019260874986648,0.8904663599431515,0.0317646761613487,0.0777711950761058,0.6332083524670451,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
225,u0225,32.0,51.83007223252207,3774.925079107285,-25898.88067456335,0.9116996335331352,0.0645540241308501,5.896566321394872,8.449038442798425,0.9172806920763108,0.9116996335331352,0.0237485860578599,0.0645540241308501,0.691802104083821,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
250,u0250,32.0,51.793468120507896,3794.084082379937,-26198.75145270326,0.9096667946558448,0.0653786879913368,6.101540218409383,8.623057660693245,0.9164649274535476,0.9096667946558448,0.0249567527369799,0.0653786879913368,0.6956354360412808,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS,10331,stability_10seeds_20260714__relational_critic__seed10331_20260714_043107_bootstrapgae_nocompile
