multiplier,baseline,seed_base,episodes,num_envs,config,out_dir,reward_sum,processed_ratio_eval,drop_ratio_eval,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,gu_queue_mean,uav_queue_mean,sat_queue_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,outflow_arrival_ratio,sat_processed_arrival_ratio
1.5,observable_cluster_queue_aware,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed980000/observable_cluster_queue_aware,20.758367022499442,0.5047220433505984,0.36934800646419286,0.3693480262874303,0.0,0.0,7.483701762016246,16.819614751161062,598704495.9000516,13832643.062634619,7565068.563317241,58.06930430072519,0.9699000889950954,0.625,0.625,150.140625,0.5130146932765903,0.5047221028374725
1.5,maxweight_lyapunov,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed980000/maxweight_lyapunov,33.43430070672184,0.6153659774360504,0.3316955831364207,0.32267537766553034,0.009020452642555531,0.0,10.142470493707753,17.263985499620084,811417484.6340662,13649443.966690075,44236645.247169964,137.87822677063028,0.9970268236394667,0.125,0.125,239.3125,0.6466554102249248,0.6153664498852071
1.5,cluster_center_queue_aware,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed981000/cluster_center_queue_aware,37.112287219730206,0.7272729075108513,0.19830229699686983,0.16540146035649098,0.03290077175809256,0.0,12.022173188151386,17.750828043233977,962676237.9654505,9004479.049468752,100265780.23119482,6266.627833333332,0.9139833376351746,0.078125,0.078125,234.734375,0.8069057164687506,0.727272945243694
1.5,observable_cluster_queue_aware,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed981000/observable_cluster_queue_aware,22.901901601348072,0.5390387792620532,0.3563937481519358,0.356302644117172,9.072758125598142e-05,0.0,8.094731769963076,16.63145214384823,647589099.6826919,14842400.843902683,8980416.6686614,73.37324810291078,0.9691283998741763,0.578125,0.578125,168.828125,0.5500525529906433,0.5390389484148116
1.5,maxweight_lyapunov,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed981000/maxweight_lyapunov,32.90840324270539,0.6390231155393009,0.2999825464237928,0.2929234309493672,0.007058957268763646,0.0,10.000307835847467,16.41553024617521,800055778.6923342,13483826.13804872,43445261.95495745,216.39722222222218,0.9961411132771819,0.203125,0.203125,233.875,0.6696379547995424,0.6390231153152036
1.5,cluster_center_queue_aware,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed982000/cluster_center_queue_aware,38.56646733637899,0.726185468548726,0.20467387234811243,0.16885328236395533,0.035820738431934236,0.0,12.67616730948661,18.851706245437217,1014465558.0733653,9267774.692084096,107230397.61586931,2584.6167396514156,0.913068753967062,0.03125,0.03125,244.578125,0.8134661417375304,0.7261854491788161
1.5,observable_cluster_queue_aware,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed982000/observable_cluster_queue_aware,20.224207105813548,0.5129446668134328,0.35468710206254606,0.3546866860090453,0.0,0.0,8.186646896149181,18.347987070601995,654947472.3832865,15215892.083337901,7716010.189972873,109.2214035393929,0.975214658523544,0.640625,0.640625,150.09375,0.5205992401780065,0.5129443397732556
1.5,maxweight_lyapunov,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x1p5_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x1p5/seed982000/maxweight_lyapunov,33.34233999776188,0.6331375753262969,0.3103340527327518,0.3028895758254848,0.007444445766700849,0.0,10.206281239653418,17.098402645304347,816553510.8881774,13887863.769709066,43497989.80674807,354.3149444444444,0.99620727126457,0.1875,0.1875,238.65625,0.6642812555553842,0.6331375812663563
2.0,cluster_center_queue_aware,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed980000/cluster_center_queue_aware,41.315322724869475,0.7615109695565964,0.17817085200898794,0.10901674180613441,0.06915424041845705,0.0,11.625332704229438,16.90789342647581,935618677.0937724,7167588.1680169385,107220513.12392758,38833.831333333335,0.8995562608074397,0.03125,0.03125,245.9375,0.8788684036225588,0.7615113919050552
2.0,observable_cluster_queue_aware,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed980000/observable_cluster_queue_aware,21.933946133358404,0.5856726868635093,0.30957127733164747,0.3095079737409465,6.295322522962903e-05,0.0,7.056678836465197,13.64236951198407,564724201.4608978,12177975.362873944,12902547.630568864,1318.7584875130005,0.9734169518206978,0.59375,0.59375,153.09375,0.5982856402107698,0.585671928810222
