multiplier,baseline,n,reward_sum_mean,processed_ratio_eval_mean,drop_ratio_eval_mean,gu_drop_ratio_mean,pre_backlog_steps_eval_mean,D_sys_report_mean,collision_episode_fraction_mean,strict_like_3u20,serviceable
1.0,cluster_center_queue_aware,3,35.38573784866215,0.6210136520403255,0.3086695049794432,0.30027185433831466,12.220310573879113,21.161325115110913,0.046875,0,0
1.0,maxweight_lyapunov,3,31.540679165472586,0.5361983494628232,0.40227168545119146,0.4003380893048664,10.985397252450218,21.361146193879055,0.14583333333333334,0,0
1.0,observable_cluster_queue_aware,3,19.661793848266825,0.42023458497520716,0.4408105352762384,0.4408105424848238,9.434037494542304,24.241776832468062,0.6197916666666666,0,0
1.5,cluster_center_queue_aware,3,38.068412692130856,0.719274013743522,0.21138641315660275,0.1758800750211105,12.475885860556682,18.667938313681425,0.046875,0,0
1.5,maxweight_lyapunov,3,33.22834798239637,0.6291755561005493,0.31400406076432175,0.3061627948134608,10.116353189736213,16.925972797033214,0.171875,0,0
1.5,observable_cluster_queue_aware,3,21.294825243220355,0.5189018298086948,0.3601429522262249,0.3601124521378825,7.921693476042834,17.266351321870427,0.6145833333333334,0,0
2.0,cluster_center_queue_aware,3,40.976359375015214,0.7782278585741458,0.15907201139451826,0.09653031788064263,11.277564801231522,15.990639290627902,0.046875,0,0
2.0,maxweight_lyapunov,3,35.47091220835379,0.7043775024467909,0.24761686738284291,0.23117981471398064,9.126590144841245,13.95456139666013,0.16666666666666666,0,0
2.0,observable_cluster_queue_aware,3,21.62627538794186,0.606752209165495,0.28684757777037095,0.2864182105136157,7.254701671449012,13.522676209006642,0.6458333333333334,0,0
3.0,cluster_center_queue_aware,3,47.16438000676377,0.836344509252888,0.11920564235548713,0.040494515665695195,8.295562201163541,11.471878150464816,0.046875,0,0
3.0,maxweight_lyapunov,3,41.233023066461705,0.8114481139100228,0.15514435655116737,0.12403793176607554,6.763411075143229,9.451296956367928,0.125,0,0
3.0,observable_cluster_queue_aware,3,25.089561091541935,0.7062141727460959,0.196110459471046,0.19004458591130222,6.748816178549736,11.18831972695766,0.578125,0,0
4.0,cluster_center_queue_aware,3,51.74849214641532,0.8737893283554886,0.08855176664036968,0.028706841391181872,6.793701358928032,9.346566669343135,0.046875,0,1
4.0,maxweight_lyapunov,3,46.790646107130065,0.8759635830898551,0.0995432489406644,0.07421632183555658,5.00689448438657,6.675536478300963,0.16666666666666666,0,1
4.0,observable_cluster_queue_aware,3,27.416832548255723,0.758590130354178,0.15160533809085236,0.14501604342918892,5.960582783724092,9.60487383218049,0.5729166666666666,0,0
6.0,cluster_center_queue_aware,3,59.51098096157269,0.9076496727456594,0.05954287113600765,0.01762179169096267,5.194656014455528,7.614541448444473,0.046875,1,1
6.0,maxweight_lyapunov,3,55.27980671520345,0.9308337060805726,0.0511267763854427,0.03835072697473496,3.3416637444301944,4.256084511035598,0.19270833333333334,1,1
6.0,observable_cluster_queue_aware,3,29.674953483200323,0.8183221841243083,0.10017261238498387,0.08624226830533403,5.181887208115268,8.2617195241068,0.6302083333333334,0,0
8.0,cluster_center_queue_aware,3,67.6765019511028,0.9307257227892735,0.04091765094486979,0.01202960593551574,3.9140331481819284,6.394184020747505,0.046875,1,1
8.0,maxweight_lyapunov,3,63.36349575815257,0.9538924142208919,0.032637583210103335,0.026403058235494953,2.3899552496435574,2.9993117788578316,0.203125,1,1
8.0,observable_cluster_queue_aware,3,33.84475726292779,0.8440630511845114,0.07925021989652985,0.06557657830285411,4.289220531233036,7.795429247345545,0.6041666666666666,0,0
