table_family,row_id,row_scope,scenario,kind,method,training_seed,return_target,config,remote_run_dir,remote_metrics_file,metrics_row_selector,validation_seed_base,validation_episodes,heldout_seed_base,heldout_episodes,num_envs,git_branch,git_commit,state,stop_reason,best_update_validation,best_reward_validation,final_update_validation,final_reward_validation,drop_best_to_final,heldout_best_reward,heldout_final_reward,best_checkpoint,final_checkpoint,notes
phase3_6uav80gu_bootstrap_auto_ref_multiseed_training,bootstrap_seed45210,training-seed summary row,main_6uav80gu_t250_auto_queue_ref,learned,bootstrap_gae,45210,bootstrap_gae,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/config_critic_eager.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/aggregate_reward_summary.csv; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/training_stop_summary.json; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/validation_summary.csv,training_seed=45210;method=bootstrap,910000,32,930000,128,64,codex/phase3-scenario-generalization,f7b57560564e96d9d6400d44bb33758f3090bf38,complete,plateau_patience,375,30.005264253355563,450,29.948861337965354,0.056402915390208364,29.874502013262827,29.420253879914526,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0450.pt,"Auto queue-reference retraining; critic_compile_enabled=false, actor compile kept enabled. Use best checkpoint rather than final when reporting this run."
phase3_6uav80gu_bootstrap_auto_ref_multiseed_training,bootstrap_seed45211,training-seed summary row,main_6uav80gu_t250_auto_queue_ref,learned,bootstrap_gae,45211,bootstrap_gae,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/config_critic_eager.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/aggregate_reward_summary.csv; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/training_stop_summary.json; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/validation_summary.csv,training_seed=45211;method=bootstrap,910000,32,930000,128,64,codex/phase3-scenario-generalization,f7b57560564e96d9d6400d44bb33758f3090bf38,complete,plateau_patience,375,29.41255943872966,475,28.999921353533864,0.4126380851957947,28.854432487860322,28.22347231017193,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/checkpoint_update0475.pt,"Auto queue-reference retraining; critic_compile_enabled=false, actor compile kept enabled. Use best checkpoint rather than final when reporting this run."
phase3_6uav80gu_bootstrap_auto_ref_multiseed_training,bootstrap_seed61723,training-seed summary row,main_6uav80gu_t250_auto_queue_ref,learned,bootstrap_gae,61723,bootstrap_gae,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/config_critic_eager.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/aggregate_reward_summary.csv; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/training_stop_summary.json; /home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/validation_summary.csv,training_seed=61723;method=bootstrap,910000,32,930000,128,64,codex/phase3-scenario-generalization,f7b57560564e96d9d6400d44bb33758f3090bf38,complete,plateau_patience,325,28.50990747474134,425,21.82039332971908,6.689514145022258,27.33239915256854,21.134320440760348,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/checkpoint_update0325.pt,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/checkpoint_update0425.pt,"Auto queue-reference retraining; critic_compile_enabled=false, actor compile kept enabled. Use best checkpoint rather than final when reporting this run."
