scenario,group,n_methods,reward_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,collision_episode_fraction,access_sum,backhaul_sum,sat_processed_sum
6uav40gu_density_ctrl_map2121_mindist700,learned_mean,3,35.336675378493965,0.5401901528843521,0.38125362045144495,11.310212659691649,22.437080983381886,0.041666666666666664,,10590904807.702257,10590801326.111979
6uav40gu_density_ctrl_map2121_mindist700,cluster_center_queue_aware,1,35.38573784866215,0.6210136520403255,0.3086695049794432,12.220310573879113,21.161325115110913,0.046875,,12089048533.510416,12089048535.427084
6uav40gu_density_ctrl_map2121_mindist700,maxweight_lyapunov,1,31.540679165472586,0.5361983494628232,0.40227168545119146,10.985397252450218,21.361146193879055,0.14583333333333334,,10286313867.770834,10286313867.770834
6uav40gu_density_ctrl_map2121_mindist700,static_uniform,1,29.41087867843453,0.347915094637312,0.5903098300511774,12.554982490055261,40.400929127543556,0.005208333333333333,,6914260852.6640625,6914260852.6640625
6uav40gu_density_ctrl_resource_2x,learned_mean,3,39.94160049008982,0.6954365514551867,0.22256949365470682,11.510280756214883,18.634708270411608,0.052083333333333336,,13604205148.484375,13571285983.932291
6uav40gu_density_ctrl_resource_2x,cluster_center_queue_aware,1,40.976359375015214,0.7782278585741458,0.15907201139451826,11.277564801231522,15.990639290627902,0.046875,,15149688251.242188,15115163337.242188
6uav40gu_density_ctrl_resource_2x,maxweight_lyapunov,1,35.47091220835379,0.7043775024467909,0.24761686738284291,9.126590144841245,13.95456139666013,0.16666666666666666,,13567434415.588541,13563723572.328125
6uav40gu_density_ctrl_resource_2x,static_uniform,1,32.8536382864307,0.5010424309355828,0.45273327161735705,9.805998045574098,22.92263989514997,0.005208333333333333,,9957969905.705729,9957969904.216146
6uav40gu_resource_2x_access_backhaul,learned_mean,3,37.40955994050535,0.6673937835698501,0.2456863005092694,10.43942095766406,17.56373575331206,0.14409722222222224,,12576603241.970484,12558094717.744791
6uav40gu_resource_2x_access_backhaul,cluster_center_queue_aware,1,39.51947539916728,0.7678139069806393,0.16086496810868076,10.646250681326864,15.342195355837143,0.06770833333333333,,14677122622.973959,14656009840.994791
6uav40gu_resource_2x_access_backhaul,maxweight_lyapunov,1,33.00280235905666,0.7132526489372478,0.23867951139061663,7.461006382275673,11.239491663640303,0.265625,,12872199536.143229,12871708083.955729
6uav40gu_resource_2x_access_backhaul,static_uniform,1,31.367162465350702,0.49016256447664147,0.45677233352621566,9.909936130247159,24.37409065025307,0.020833333333333332,,9580244733.559896,9580244732.257812
