sweep,point_index,num_uav,num_gu,map_size_m,uav_density_per_km2,method_id,paper_label,method_family,n_rows,n_training_seeds,n_eval_seed_bases,episodes_per_eval_seed_base,total_episodes,reward_sum_mean,reward_sum_std,processed_ratio_eval_mean,processed_ratio_eval_std,drop_ratio_eval_mean,drop_ratio_eval_std,pre_backlog_steps_eval_mean,pre_backlog_steps_eval_std,D_sys_report_mean,D_sys_report_std,queue_total_mean_mean,queue_total_mean_std,collision_episode_fraction_mean,collision_episode_fraction_std,near_collision_ratio_mean,near_collision_ratio_std,near_collision_steps_mean,near_collision_steps_std,terminated_early_mean,terminated_early_std,sat_overlap_eval_mean,sat_overlap_eval_std,episode_length_mean,episode_length_std,arrival_step_mean_mean,arrival_step_mean_std,outflow_arrival_ratio_mean,outflow_arrival_ratio_std
uav_density,1,2,20,1500.0,0.8888888888888888,relcritic,STARS,learned,9,3,3,64.0,576,37.16039655411927,0.4559858730213392,0.6635530665449072,0.006258558408562615,0.2911355949771538,0.006138623857522127,10.50812214172207,0.5502413101900677,20.118699220804803,1.3198447682113332,420324880.6995348,22009652.071186252,0.0,0.0,,0.0,,0.0,0.0,0.0,0.5580729166666666,0.04965194900544244,250.0,0.0,40000010.70308334,49.072689086285024,0.6640146339015046,0.006137981996469878
uav_density,1,2,20,1500.0,0.8888888888888888,globalcritic,STARS-GC,learned,9,3,3,64.0,576,29.56019040369817,6.07840691944361,0.4040085770664704,0.20799124840687744,0.5272960632515148,0.19054399274200504,13.795582129583478,2.7362496745559595,66.92740441016086,39.349836437170175,551823278.7639538,109449985.71027082,0.0625,0.05687585851000405,,0.0,,0.0,0.0625,0.05687585851000405,0.8481626802998938,0.11181615401086507,244.74479166666666,5.194807306264473,40000019.839693375,49.74760517837182,0.4041518747026385,0.208062836288923
uav_density,1,2,20,1500.0,0.8888888888888888,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,36.75121242296882,0.5656705514455015,0.7573044575143528,0.0192068130132947,0.20213054643776512,0.019839369896681194,9.900545551459613,0.27507652357909695,15.216946632640745,0.8985922669715007,396021817.4688541,11003060.776051655,0.0,0.0,,0.0,,0.0,0.0,0.0,0.8614583333333333,0.03151737698609037,250.0,0.0,40000010.70308334,56.66426050765094,0.7589303692665003,0.019652838699422574
uav_density,1,2,20,1500.0,0.8888888888888888,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,35.96600548449593,0.33587934811917003,0.71952459006254,0.01487169442229562,0.23176863922552568,0.01596503597200164,11.672883043604902,0.21231673104247226,18.888283191152535,0.5915025282791994,466915316.38979155,8492669.280806217,0.0,0.0,,0.0,,0.0,0.0,0.0,0.9875833333333333,0.0031936725365686795,250.0,0.0,40000010.70308334,56.66426050765094,0.7197237841715465,0.015087012858483644
uav_density,2,3,20,1500.0,1.3333333333333333,relcritic,STARS,learned,9,3,3,64.0,576,71.01708629195734,1.5389919050324896,0.9106330036772913,0.013949136267290498,0.07277127642412562,0.012425624463969758,4.4631020360972355,0.46593032156489345,6.287375679944363,0.8201957157052073,178524079.3065114,18637212.618900996,0.005208333333333333,0.0078125,,0.0,,0.0,0.005208333333333333,0.0078125,0.5431592790780695,0.04418918668976326,248.89583333333334,1.7302703399234323,39999985.68672421,81.127734091038,0.9111416192900018,0.014060553304172926
uav_density,2,3,20,1500.0,1.3333333333333333,globalcritic,STARS-GC,learned,9,3,3,64.0,576,47.37745775330242,19.637754502818005,0.7255990636164712,0.13637869304889086,0.23735995152961115,0.12102994668161228,7.526579774844074,2.3391752407881325,16.109443835838846,7.65170802765199,301063187.46381503,93567008.52653843,0.03819444444444445,0.03415332564740625,,0.0,,0.0,0.03819444444444445,0.03415332564740625,0.8276066283948355,0.11914743635361438,244.90277777777777,4.420879538028258,39999996.55191141,64.25825674897497,0.726064495092842,0.13631171958100766
uav_density,2,3,20,1500.0,1.3333333333333333,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,50.44828254438471,0.335359255179831,0.8932024265182359,0.007021421203577952,0.079441526034458,0.0053306056851333845,6.178708912102767,0.11536641115269991,8.512473941654628,0.3360439341148677,247148353.63220835,4614656.396575903,0.005208333333333333,0.009021097956087902,,0.0,,0.0,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,40000011.265083335,41.87003494915618,0.9025490984159038,0.007195365244679377
uav_density,2,3,20,1500.0,1.3333333333333333,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,44.65631763163643,0.5582279179665249,0.8452853448087118,0.00719774480941254,0.12417910694608607,0.005775662198460206,7.728779154651954,0.25068373034420927,10.969330898876875,0.6466734387481913,309151162.5816666,10027349.075788308,0.0,0.0,,0.0,,0.0,0.0,0.0,0.9723576405160133,0.00034459068565437137,250.0,0.0,40000010.617416665,42.966102660487735,0.8510054291331328,0.006533216063535436
uav_density,3,4,20,1500.0,1.7777777777777777,relcritic,STARS,learned,9,3,3,64.0,576,60.499126928379866,2.028500409192537,0.8835449705438057,0.008230730127488367,0.09279263341190776,0.011720290814694728,4.893938255356541,0.4030291094371034,6.959993854970614,0.6213221293969602,195757527.79448274,16121164.126944471,0.027777777777777776,0.01877891289304161,,0.0,,0.0,0.027777777777777776,0.01877891289304161,0.5427723956168236,0.05616535081612207,245.82986111111111,2.6862897488948136,40000025.50524596,74.2280652662975,0.885821162667718,0.00936706138329272
uav_density,3,4,20,1500.0,1.7777777777777777,globalcritic,STARS-GC,learned,9,3,3,64.0,576,39.56370868314601,14.623242571984495,0.7100901940988488,0.13134523224021535,0.23083022056347535,0.10994680745758072,7.388301800874168,1.8795503860975535,14.326381078275078,6.321043332785656,295532080.0231146,75182027.12533079,0.2586805555555556,0.1507045447523988,,0.0,,0.0,0.2552083333333333,0.14986973510352247,0.8110990013363493,0.13773690410903594,216.66145833333334,16.482506929104225,40000055.3751087,95.09824611973056,0.7110370410547454,0.13195721833220875
