scenario,kind,method,update,seed_base,episodes,num_envs,config,checkpoint,out_dir,reward_sum,processed_ratio_eval,drop_ratio_eval,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,gu_queue_mean,uav_queue_mean,sat_queue_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,outflow_arrival_ratio,sat_processed_arrival_ratio,access_sum,backhaul_sum,sat_processed_sum
6uav40gu_density_ctrl_map2121_mindist700,baseline,maxweight_lyapunov,,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed981000/maxweight_lyapunov,30.702814355841838,0.5418420703965221,0.3890263682799978,0.3876298296952737,0.0013962573980112526,0.0,10.845686942091781,20.893398101716812,867654945.1294616,16663313.498096079,33520400.898711212,0.0,0.9898727900858353,0.203125,0.203125,231.078125,0.5653606271843933,0.541841964530684,,10154176998.53125,10154176998.53125
6uav40gu_density_ctrl_map2121_mindist700,baseline,static_uniform,,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed981000/static_uniform,29.06372010067571,0.3491535246903077,0.5835376509703859,0.5832497240092552,0.00028745215646355023,0.0,12.737863429285582,40.092651903945956,1019029062.4663745,24741857.43825937,4892460.837333335,0.0,0.48673335093632336,0.015625,0.015625,246.109375,0.35055519971243154,0.3491535442504712,,6850947537.734375,6850947537.734375
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/bootstrap_seed45210_best_u0375,37.55476746708155,0.5998739991048239,0.32844394512365604,0.323990130437255,0.004453945361281301,0.0,10.75654751391088,19.326207838030534,860533366.9600837,12015048.21253899,63320310.489746034,66.49616666666667,0.9393288720472321,0.015625,0.015625,248.71875,0.6503532338845219,0.5998740025634411,,11941244592.6875,11941244585.5625
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed45211_best_u0375,seed45211_u0375,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/bootstrap_seed45211_best_u0375,35.40286015078891,0.5179659272610824,0.38860188199239265,0.3793717315260313,0.009230166761286018,0.0,12.45540872793105,25.989308160086562,996604075.0316406,13238472.80520505,77815629.11956555,1190.1962777777776,0.9989916668087243,0.046875,0.046875,245.375,0.5917728410962438,0.5179659652144429,,10221895816.484375,10221895814.359375
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed61723_best_u0325,seed61723_u0325,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/checkpoint_update0325.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/bootstrap_seed61723_best_u0325,34.76599052734673,0.5260119178449422,0.4111105550575011,0.40978719784610756,0.0013234966276720083,0.0,11.15787017785134,22.38009697070343,892629623.9760904,14355529.810476534,53068068.52320886,0.14166666666666666,0.8730590474199257,0.03125,0.03125,246.34375,0.555882419121986,0.526012050537729,,10429633931.351562,10429633931.726562
6uav40gu_density_ctrl_map2121_mindist700,baseline,cluster_center_queue_aware,,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/cluster_center_queue_aware,35.743171247188,0.6270370896614577,0.3043146529703398,0.2952000978812725,0.009114674328620643,0.0,12.477147447871559,21.5674887873431,998173720.7552891,12437936.794878703,83442385.2937778,13.451277777777776,0.7493060541968866,0.03125,0.03125,244.578125,0.6791313725363104,0.6270370530647844,,12272031902.90625,12272031905.65625
6uav40gu_density_ctrl_map2121_mindist700,baseline,maxweight_lyapunov,,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/maxweight_lyapunov,31.412535173119977,0.5371334584066821,0.4034138912353521,0.401835712541898,0.0015782403644947736,0.0,11.073229023261545,21.583199449722027,885858311.7717966,17013235.08322816,34221484.78233139,0.0,0.9907088998565701,0.15625,0.15625,237.96875,0.5601114626154339,0.5371335746810033,,10272749842.640625,10272749842.640625
6uav40gu_density_ctrl_map2121_mindist700,baseline,static_uniform,,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_density_ctrl_map2121_mindist700.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_density_ctrl_map2121_mindist700/seed982000/static_uniform,29.690416814526543,0.3580769040281884,0.5823125231300452,0.5814991715746505,0.0008134963248817964,0.0,12.617205456729979,40.44670293210261,1009376425.0051248,24225867.05177343,6723623.830666665,0.0,0.4875854344926775,0.0,0.0,250.0,0.36072252339308764,0.35807693630861787,,7161537996.6875,7161537996.6875
6uav40gu_resource_2x_access_backhaul,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_resource_2x_access_backhaul.yaml,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_resource_2x_access_backhaul/seed980000/bootstrap_seed45210_best_u0375,39.35558602050878,0.7248996046436025,0.20138904983775066,0.17922306094201496,0.0221660784202921,0.0,10.168066363521845,15.68385800135911,839013335.7931268,8665466.576278184,77804439.3526867,177555.80735092287,0.9693456172603532,0.078125,0.078125,236.9375,0.7920509213154069,0.7248989562671293,,13952506245.625,13896981804.25
6uav40gu_resource_2x_access_backhaul,learned,bootstrap_seed45211_best_u0375,seed45211_u0375,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/configs/6uav40gu_resource_2x_access_backhaul.yaml,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_20260711_150245/formal/6uav40gu_resource_2x_access_backhaul/seed980000/bootstrap_seed45211_best_u0375,37.22384003037587,0.6343673888113625,0.26424476930764745,0.24087558124771125,0.02336912604872971,0.0,9.921022598270667,17.876683253634106,795861536.8199278,9909303.062476553,66218279.37215468,15137.068426470874,0.9718287678752757,0.09375,0.09375,232.390625,0.7166091009401028,0.6343666198341262,,12062316331.65625,12062316295.5625
