scenario,kind,method,update,seed_base,episodes,num_envs,checkpoint,out_dir,reward_sum,processed_ratio_eval,drop_ratio_eval,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,gu_queue_mean,uav_queue_mean,sat_queue_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,outflow_arrival_ratio,sat_processed_arrival_ratio
6uav60gu,baseline,cluster_center_queue_aware,,981000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed981000/cluster_center_queue_aware,30.415963874547742,0.48984507720334425,0.4091422231754806,0.40885876728816434,0.0002832645044844404,0.0,12.60370806465424,26.48690582539064,1512481689.986735,15225131.609423388,99822851.274222,254.7660555555555,0.8114817073677799,0.078125,0.078125,232.96875,0.5269872151209065,0.4898447703476251
6uav60gu,baseline,maxweight_lyapunov,,981000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed981000/maxweight_lyapunov,28.241883408860303,0.443888770752149,0.47512130659742696,0.4750634143994822,5.7790319944572816e-05,0.0,11.083514782631243,25.29844366923881,1330022275.7523189,19602287.748949435,25647423.385845218,3.267611111111111,0.9903821251827316,0.109375,0.109375,233.765625,0.45556392024041764,0.44388902167316924
6uav60gu,baseline,static_uniform,,981000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed981000/static_uniform,25.915340637555346,0.2890279096064623,0.6149858636241479,0.6149858286428963,0.0,0.0,13.357982583241542,50.20205401701107,1602957948.43275,25793712.58728333,9222532.14,0.0,0.48803751792758693,0.046875,0.046875,238.328125,0.29176994753184704,0.2890285231164371
6uav60gu,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,982000,64,64,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/bootstrap_seed45210_best_u0375,32.89100312825758,0.4675291549973189,0.46397300853392426,0.4634397860194075,0.0005335674612280153,0.0,11.010887333046645,24.353081138104198,1321646368.3322504,15516236.195466664,65055389.99866665,2360.1174999999994,0.9351437550634146,0.0,0.0,250.0,0.5046657763078208,0.4675295866916378
6uav60gu,learned,bootstrap_seed45211_best_u0375,seed45211_u0375,982000,64,64,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45211/bootstrap_seed45211/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/bootstrap_seed45211_best_u0375,31.092228842782788,0.41516831200769,0.48335506623411617,0.4812439506391877,0.0021116179928300687,0.0,13.226474788562445,33.52450121814495,1587807188.1816807,15658085.269819243,107948649.38167106,4376.221555555556,0.9967166669517757,0.046875,0.046875,239.765625,0.4801222390900582,0.41516878837729626
6uav60gu,learned,bootstrap_seed61723_best_u0325,seed61723_u0325,982000,64,64,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed61723/bootstrap_seed61723/checkpoint_update0325.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/bootstrap_seed61723_best_u0325,30.456622805213556,0.43096588125592605,0.4851553483897096,0.4847530285066578,0.0004027455168499167,0.0,11.881981178233376,28.23506359949111,1425846230.0951912,16792026.52285047,69719363.97275378,58.7115,0.8362691273173076,0.0625,0.0625,238.875,0.45996887541844994,0.4309662949622815
6uav60gu,baseline,cluster_center_queue_aware,,982000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/cluster_center_queue_aware,30.777241289732046,0.4885297577191581,0.4268594015678514,0.4257790273419307,0.0010809122775815249,0.0,13.39221688595726,28.1487092313233,1607101963.7117062,15592385.79837247,111920486.25851798,249.30072222222222,0.8009216865771936,0.0625,0.0625,236.734375,0.5305026865990947,0.48853039748520705
6uav60gu,baseline,maxweight_lyapunov,,982000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/maxweight_lyapunov,28.79234379681293,0.4436676272585866,0.49491785458031845,0.49491805338827005,0.0,0.0,11.606046451365312,26.713104221768624,1392725607.4874973,20515765.93421671,26963275.175104078,0.0,0.9896314348717782,0.09375,0.09375,239.078125,0.45658362368151584,0.4436679439695435
6uav60gu,baseline,static_uniform,,982000,64,64,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav60gu/seed982000/static_uniform,26.77613361319527,0.2801211833823473,0.6537216902442465,0.6537222339303507,0.0,0.0,14.07204855176434,56.83015724190325,1688645866.7150002,27571631.664270837,5724661.157333331,0.0,0.4874604344833644,0.0,0.0,250.0,0.2816949302565278,0.280121424523003
6uav80gu,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,980000,64,64,runs/phase3/main_6uav80gu_bootstrap_auto_ref_multiseed_critic_eager_20260710_173132/seed45210/bootstrap_seed45210/checkpoint_update0375.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_load_transfer_new_multiseed_20260711_142042/formal/6uav80gu/seed980000/bootstrap_seed45210_best_u0375,30.409933577058837,0.3997574763125741,0.5160064179559561,0.5160067748160346,0.0,0.0,11.499184866763647,29.013733869470652,1841880566.7725003,16298105.755987499,89336849.6706667,13965.340611111107,0.9178375058136882,0.015625,0.015625,246.109375,0.43788814241174634,0.39975769740158373
