table_family,row_id,row_scope,scenario,kind,method,method_role,training_seed,return_target,checkpoint_update,config,checkpoint,remote_run_dir,remote_out_dir,local_metrics_file,remote_metrics_file,metrics_row_selector,eval_seed_base,eval_seed_bases,episodes_per_seed,total_episodes,num_envs,git_branch,git_commit,status,reward_sum,reward_mean,reward_std,processed_ratio_eval,processed_mean,drop_ratio_eval,drop_mean,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,sat_overlap_eval,sat_overlap_mean,collision_episode_fraction,collision_mean,terminated_early,episode_length,outflow_arrival_ratio,best_learned,best_learned_checkpoint,best_learned_reward_mean,best_baseline,best_baseline_reward_mean,delta_mean,delta_min_across_seeds,rank_mean,rank_min,rank_max,best_update_validation,best_reward_validation,final_update_validation,final_reward_validation,heldout_best_reward,heldout_final_reward,stop_reason,source_row_count,notes
phase3_scale_transfer_zero_shot,scale_num_gu10_3uav10gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_num_gu10_3uav10gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,575,configs/experiments/phase3_generalization/scale_num_gu10_3uav10gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_num_gu10_3uav10gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_bootstrap_seed45211_u575,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,207.32944337216517,dpp_resource_hybrid_native,112.21581123113477,95.11363214103041,92.35361758456565,1.0,,1.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
phase3_scale_transfer_zero_shot,scale_num_gu30_3uav30gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_num_gu30_3uav30gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,400,configs/experiments/phase3_generalization/scale_num_gu30_3uav30gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/mc_seed45211/checkpoint_update0400.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_num_gu30_3uav30gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_mc_seed45211_u400,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/mc_seed45211/checkpoint_update0400.pt,40.59891372922963,cluster_center_queue_aware,39.229564142335825,1.3693495868938044,1.2993321359390393,1.3333333333333333,,2.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
phase3_scale_transfer_zero_shot,scale_num_uav2_2uav20gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_num_uav2_2uav20gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,400,configs/experiments/phase3_generalization/scale_num_uav2_2uav20gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/mc_seed45211/checkpoint_update0400.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_num_uav2_2uav20gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_mc_seed45211_u400,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/mc_seed45211/checkpoint_update0400.pt,37.25875889622451,cluster_center_queue_aware,36.415557369745024,0.8432015264794899,0.6483300540130585,1.0,,1.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
phase3_scale_transfer_zero_shot,scale_num_uav4_4uav20gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_num_uav4_4uav20gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,575,configs/experiments/phase3_generalization/scale_num_uav4_4uav20gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_num_uav4_4uav20gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_bootstrap_seed45211_u575,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,51.96905211894773,maxweight_lyapunov,41.03379484898566,10.935257269962072,7.409819082356989,1.3333333333333333,,2.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
phase3_scale_transfer_zero_shot,scale_visible_sats4_3uav20gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_visible_sats4_3uav20gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,575,configs/experiments/phase3_generalization/scale_visible_sats4_3uav20gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_visible_sats4_3uav20gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_bootstrap_seed45211_u575,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,58.98685782852893,cluster_center_queue_aware,45.07722806697711,13.90962976155182,12.449064041720703,1.3333333333333333,,2.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
phase3_scale_transfer_zero_shot,scale_visible_sats8_3uav20gu_t250__best_learned_vs_baseline,paper summary row: best learned vs best baseline,scale_visible_sats8_3uav20gu_t250,summary,best_learned_vs_baseline,comparison_summary,45211,bootstrap_gae,575,configs/experiments/phase3_generalization/scale_visible_sats8_3uav20gu_t250.yaml,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556,,,/home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/best_learned_vs_baseline.csv; /home/sgy/workspace/sagin_marl/runs/phase3/scale_transfer/scale_transfer_zero_shot_20260701_210556/combined_summary.csv,scenario=scale_visible_sats8_3uav20gu_t250,,980000;981000;982000,64,192,64,codex/phase3-scenario-generalization,5da4c19abf148d92655d89a19a7319ec23d77b3c,ok,,,,,,,,,,,,,,,,,,,,,phase2_bootstrap_seed45211_u575,/home/sgy/workspace/sagin_marl/runs/method_validation/horizon_fairness_mc_vs_bootstrap_threshold_u0_rep2_20260625_204118/bootstrap_seed45211/checkpoint_update0575.pt,58.95123324923528,cluster_center_queue_aware,45.48656197780898,13.464671271426297,12.095376976998523,1.0,,1.0,,,,,,,,6,Scale-transfer summary rows; do not use target scenarios for checkpoint selection.
