"step","episode_reward","collision_rate","queue_total_active","queue_total_active_p95","queue_total_active_p99","r_queue_pen","r_queue_delta","r_collision_penalty","r_term_accel","action_std_mean","log_std_mean"
"13","-0.033253073761685265","0.001875","2823.0550065104167","0.0","0.0","0.0015730487739646025","0.00375","-0.009375","-0.015647586022039237","0.9591567516326904","-0.04170239716768265"
"14","-0.017340039519373424","0.00020833333333333335","999.0707486979167","0.0","0.0","0.000593395169961381","0.0027083333333333334","-0.0010416666666666667","-0.01578108781975964","0.9579083919525146","-0.04300587996840477"
"15","-0.035385725781634556","0.00125","4218.067848307292","0.0","0.0","0.0020762562968804714","0.00375","-0.00625","-0.015873162812829862","0.9561983942985535","-0.04479372501373291"
"16","-0.024344830899356983","0.0010416666666666667","1717.99703125","0.0","0.0","0.0008799422493212903","0.0027083333333333334","-0.005208333333333333","-0.01575374173947743","0.9525697231292725","-0.048594459891319275"
"17","-0.022216083965159113","0.00125","1227.3713704427084","0.0","0.0","0.0007433919594491971","0.0035416666666666665","-0.00625","-0.01561549770400051","0.9492181539535522","-0.05211866647005081"
"18","-0.03817363731706142","0.0020833333333333333","4487.478478190104","0.0","0.0","0.0020215567434631204","0.003968027578125","-0.010416666666666666","-0.015477458372013574","0.9468418955802917","-0.054629117250442505"
"19","-0.02773774716928178","0.0010416666666666667","2484.659641927083","0.0","0.0","0.0011914878756011079","0.0025","-0.005208333333333333","-0.015614535079937427","0.9458838701248169","-0.05564400553703308"
"20","-0.025866397216577183","0.000625","1963.6162955729167","0.0","0.0","0.0012868687292904878","0.0029166666666666672","-0.003125","-0.015706043257005562","0.9449700117111206","-0.056611597537994385"
"21","-0.03753574740333826","0.001875","4302.457392578125","0.0","0.0","0.0019859156190783762","0.0037500000000000007","-0.009375","-0.01580159121255457","0.9432054162025452","-0.0584750697016716"
"22","-0.034497409996373185","0.0016666666666666668","3385.6739778645833","0.0","0.0","0.0017456086487579842","0.0035416666666666674","-0.008333333333333333","-0.015791323508793247","0.9411745071411133","-0.06063629686832428"
"23","-0.030754872835817702","0.0010416666666666667","3001.87677734375","0.0","0.0","0.001583488974154537","0.0031249999999999997","-0.005208333333333333","-0.015961649760938935","0.9400101900100708","-0.06187579408288002"
"24","-0.03661000025155282","0.001875","3199.025660807292","0.0","0.0","0.0019321193624117757","0.003958333333333334","-0.009375","-0.01583047329410177","0.9388210773468018","-0.06314114481210709"
"25","-0.024610932806638643","0.0004166666666666667","1620.8651725260418","0.0","0.0","0.0011528895322066432","0.0025","-0.0020833333333333333","-0.015998704151238854","0.9380855560302734","-0.06392331421375275"
"26","-0.01935634890729352","0.0008333333333333334","1030.0704752604167","0.0","0.0","0.0005368680184869699","0.0031250000000000006","-0.004166666666666667","-0.016071002055757157","0.935723066329956","-0.06644274294376373"
"27","-0.018683767993262042","0.0004166666666666667","1082.9642415364583","0.0","0.0","0.0006462874477717959","0.0029166666666666664","-0.0020833333333333333","-0.01597089351554407","0.9323285818099976","-0.07007714360952377"
"28","-0.030307698080101027","0.0014583333333333334","2632.4573649088543","0.0","0.0","0.0012916605298519102","0.002916666666666667","-0.007291666666666667","-0.015932759448248575","0.9299225807189941","-0.07265958189964294"
"29","-0.021905006477335426","0.0008333333333333334","1411.4301106770833","0.0","0.0","0.000753837536917616","0.002916666666666667","-0.004166666666666667","-0.016033297774825876","0.9273679256439209","-0.07540792226791382"
