step,uav,x,y
0,0,404.7814025878906,975.1370849609375
0,1,1129.307373046875,550.113037109375
0,2,172.27224731445312,953.996826171875
1,0,409.5853271484375,976.2384033203125
1,1,1134.1839599609375,549.3147583007812
1,2,176.50355529785156,952.6006469726562
2,0,417.6902770996094,980.9067993164062
2,1,1143.429931640625,550.5933227539062
2,2,180.77418518066406,946.7106323242188
3,0,428.2812194824219,989.8245239257812
3,1,1155.794677734375,554.978515625
3,2,184.10752868652344,936.0038452148438
4,0,440.8233642578125,1003.2844848632812
4,1,1169.8472900390625,562.2257080078125
4,2,186.2838134765625,920.495361328125
5,0,455.43695068359375,1021.2205200195312
5,1,1184.516357421875,571.8148193359375
5,2,187.67098999023438,900.1215209960938
6,0,472.6600341796875,1043.2694091796875
6,1,1198.478515625,582.3369750976562
6,2,189.55499267578125,874.8260498046875
7,0,489.8075866699219,1067.8857421875
7,1,1210.734130859375,592.7557983398438
7,2,192.0150146484375,844.9271240234375
8,0,504.9573974609375,1093.7794189453125
8,1,1220.2451171875,605.0528564453125
8,2,194.78564453125,815.0553588867188
9,0,520.1834716796875,1119.282470703125
9,1,1225.7330322265625,616.6885986328125
9,2,198.19740295410156,785.2499389648438
10,0,535.5680541992188,1145.037353515625
10,1,1229.0689697265625,627.7509155273438
10,2,202.73411560058594,755.594970703125
11,0,549.0413208007812,1171.8416748046875
11,1,1231.1484375,637.85693359375
11,2,206.4996337890625,725.9093017578125
12,0,560.4507446289062,1198.6048583984375
12,1,1236.0296630859375,645.5974731445312
12,2,212.8873291015625,696.5972290039062
13,0,571.6578979492188,1223.66845703125
13,1,1244.7578125,653.2576904296875
13,2,220.4828338623047,668.76220703125
14,0,579.2455444335938,1246.3193359375
14,1,1255.916259765625,658.0849609375
14,2,228.4283905029297,640.2041625976562
15,0,583.0223999023438,1266.540771484375
15,1,1268.2745361328125,659.9395751953125
15,2,235.82778930664062,611.1309814453125
16,0,583.6969604492188,1285.0845947265625
16,1,1281.8079833984375,661.3427124023438
16,2,243.56747436523438,582.8126831054688
17,0,582.5565185546875,1300.3253173828125
17,1,1296.1134033203125,664.75390625
17,2,255.07859802246094,555.130615234375
18,0,578.6176147460938,1312.9931640625
18,1,1310.2088623046875,671.6481323242188
18,2,268.2764587402344,530.5239868164062
19,0,572.0033569335938,1322.1910400390625
19,1,1324.9188232421875,680.6156616210938
19,2,284.0311584472656,507.0538330078125
20,0,563.4890747070312,1327.524658203125
20,1,1339.4302978515625,691.2281494140625
20,2,301.9095153808594,484.79248046875
21,0,554.45263671875,1328.4417724609375
21,1,1352.5985107421875,704.807373046875
21,2,320.5464172363281,464.7282409667969
22,0,544.0609130859375,1325.1575927734375
22,1,1364.534423828125,720.534423828125
22,2,340.8880615234375,446.04071044921875
23,0,533.1141357421875,1317.61767578125
23,1,1373.6798095703125,738.5321655273438
23,2,361.67803955078125,429.345458984375
24,0,520.5582885742188,1306.2950439453125
24,1,1380.022216796875,757.8079833984375
24,2,384.26483154296875,413.5801696777344
25,0,506.21917724609375,1291.6246337890625
25,1,1383.2633056640625,778.1045532226562
25,2,408.4525451660156,398.71197509765625
26,0,490.289306640625,1274.4757080078125
26,1,1383.3612060546875,799.2118530273438
26,2,433.97662353515625,384.6191711425781
27,0,474.2403564453125,1255.995361328125
27,1,1380.004150390625,821.6627197265625
27,2,459.02264404296875,371.64208984375
28,0,457.749755859375,1237.867919921875
28,1,1373.926513671875,844.7311401367188
28,2,485.0857849121094,359.1138916015625
29,0,441.43768310546875,1220.252197265625
29,1,1365.5103759765625,868.179931640625
29,2,512.4407348632812,347.433349609375
30,0,424.85211181640625,1200.31982421875
30,1,1354.8310546875,890.7381591796875
30,2,540.904052734375,338.2012939453125
31,0,408.78082275390625,1179.333740234375
31,1,1341.5797119140625,913.4461059570312
31,2,568.6090698242188,329.8424072265625
32,0,392.70855712890625,1158.740966796875
32,1,1327.5966796875,936.0244140625
32,2,596.5537719726562,320.9427795410156
33,0,377.38336181640625,1138.5748291015625
33,1,1313.043212890625,958.8679809570312
33,2,625.0777587890625,311.6485290527344
34,0,363.29486083984375,1118.8150634765625
34,1,1297.9747314453125,982.3472290039062
34,2,653.83154296875,303.0916748046875
35,0,350.6568298339844,1099.429443359375
35,1,1282.83740234375,1006.1183471679688
35,2,683.06298828125,296.3446960449219
36,0,339.4956359863281,1080.219970703125
36,1,1267.903076171875,1029.583251953125
36,2,712.697509765625,291.6760559082031
37,0,331.5873718261719,1060.6102294921875
37,1,1251.1572265625,1052.653564453125
37,2,741.2861938476562,288.9306335449219
38,0,326.6408386230469,1040.65087890625
38,1,1232.7742919921875,1074.9163818359375
38,2,769.2128295898438,287.0320129394531
39,0,323.3323669433594,1021.2975463867188
39,1,1213.294921875,1096.2147216796875
39,2,796.7832641601562,285.9574279785156
40,0,320.9557189941406,1002.51220703125
40,1,1193.347900390625,1116.412841796875
40,2,824.1996459960938,286.2007751464844
41,0,318.9695129394531,983.15380859375
41,1,1173.3336181640625,1135.8701171875
41,2,851.4864501953125,288.2601318359375
42,0,316.5806884765625,962.5169677734375
42,1,1153.5474853515625,1154.76416015625
42,2,878.5343017578125,292.2814025878906
43,0,313.5525207519531,940.6310424804688
43,1,1133.855712890625,1173.1988525390625
43,2,905.0892333984375,298.12152099609375
44,0,310.2538146972656,918.2352905273438
44,1,1113.9613037109375,1191.0740966796875
44,2,930.96923828125,305.3702087402344
45,0,307.8041687011719,896.0181274414062
45,1,1093.82275390625,1208.0255126953125
45,2,955.7540283203125,313.6486511230469
46,0,307.3175048828125,874.6138916015625
46,1,1073.189453125,1223.928466796875
46,2,979.2234497070312,322.69805908203125
47,0,309.1368408203125,854.5874633789062
47,1,1052.03564453125,1238.859130859375
47,2,1001.4161376953125,332.6272277832031
48,0,312.7613220214844,836.4524536132812
48,1,1030.6671142578125,1252.7369384765625
48,2,1022.475341796875,343.30029296875
49,0,317.7096862792969,820.16552734375
49,1,1009.5140991210938,1265.3720703125
49,2,1042.2957763671875,354.5548095703125
50,0,323.29449462890625,805.2559814453125
50,1,988.78662109375,1276.675537109375
50,2,1060.8201904296875,366.21759033203125
