method,training_seed,checkpoint_update,episodes,eval_seed_bases,source_run,reward_sum,processed_ratio_eval,drop_ratio_eval,D_sys_report,pre_backlog_steps_eval,queue_total_mean,collision_episode_fraction,gu_queue_mbit,uav_queue_mbit,sat_queue_mbit,queue_total_mbit
STARS,45211,400,64,1980000;1981000,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45211_20260920_120135,168.7610827195458,0.9995433537093923,0.00021959754878661484,0.16731506932776477,0.15334118727666343,6133647.4243749995,0.0,4.9118447955,1.2218026320000002,0.0,6.133647424375001
STARS,45210,650,64,1980000;1981000,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45210_20260920_183803,175.17248190776445,0.9992909092763439,0.0002650780823105311,0.3729184966436765,0.29178338501423556,11671335.2590625,0.0,3.3505857419375,8.32074952,0.0,11.6713352590625
STARS,61723,700,64,1980000;1981000,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed61723_20260920_183803,200.4506718099583,0.9997546038590371,0.00012010313170685155,0.1620960915095709,0.13859064610021038,5543625.7805625,0.0,4.61537670825,0.9282490720000001,0.0,5.5436257805625
STARS-GC,45211,50,64,1980000;1981000,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45211,31.32204174634535,0.8441332852356962,0.12892760319381363,9.291690654115069,6.825435153293242,273017402.89777064,0.03125,248.4354232067706,24.581979712,0.0,273.0174028977706
STARS-GC,45210,25,64,1980000;1981000,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45210,34.39224786951672,0.8401535325527657,0.10460281179823165,43.81840522106364,23.822616530068217,952904649.854625,0.0,275.33371648256247,677.5709336479999,0.0,952.904649854625
STARS-GC,61723,75,64,1980000;1981000,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed61723,34.45993412705138,0.849733608047478,0.11475097038479051,12.064017281432754,7.975479659352809,319019182.679125,0.0,312.280248035,6.738934656,0.0,319.01918267912504
