gu_id,x,y,hotspot_fraction
0,199.74571228027344,930.7179565429688,0.0
1,297.20208740234375,529.6380615234375,0.0
2,474.9602966308594,1248.44140625,0.208
3,909.267578125,1216.7630615234375,0.0
4,356.8388671875,569.9868774414062,0.0
5,588.141357421875,688.75,0.268
6,1231.9173583984375,1289.171875,0.164
7,413.6779479980469,542.9266967773438,0.032
8,417.26776123046875,1193.89013671875,0.208
9,838.5001831054688,479.2022705078125,0.0
10,634.1930541992188,245.99420166015625,0.0
11,521.183349609375,556.3859252929688,0.116
12,268.99005126953125,546.54248046875,0.0
13,282.0986022949219,506.9377746582031,0.0
14,850.5407104492188,575.2908325195312,0.0
15,577.0581665039062,831.000732421875,0.384
16,1076.257568359375,214.5012664794922,0.14
17,1108.962890625,238.4561309814453,0.14
18,897.0172119140625,1193.7559814453125,0.0
19,1333.5404052734375,1254.7650146484375,0.164
20,1135.7601318359375,631.7365112304688,0.0
21,614.3182983398438,1041.8192138671875,0.268
22,623.8505249023438,857.79833984375,0.32
23,732.584716796875,347.9191589355469,0.0
24,1187.6263427734375,529.491943359375,0.0
25,274.9310302734375,932.0493774414062,0.0
26,1079.390869140625,1176.7230224609375,0.0
27,1053.5538330078125,181.5069580078125,0.14
28,610.2885131835938,247.85897827148438,0.0
29,1083.9005126953125,682.251953125,0.0
30,873.8556518554688,312.6695861816406,0.0
31,239.58029174804688,557.8063354492188,0.0
32,398.5708923339844,1230.781005859375,0.144
33,810.3359985351562,1187.6614990234375,0.0
34,1088.568359375,140.41842651367188,0.14
35,266.002197265625,893.162353515625,0.0
36,759.924072265625,1096.578369140625,0.152
37,1114.3428955078125,1286.29638671875,0.164
38,751.7703247070312,493.0379943847656,0.0
39,1291.4642333984375,245.43502807617188,0.14
40,658.5746459960938,670.056884765625,0.168
41,1216.118408203125,928.111083984375,0.0
42,413.3013610839844,508.8819580078125,0.0
43,1069.538818359375,697.3680419921875,0.0
44,1168.207763671875,1316.9263916015625,0.164
45,1086.847900390625,1144.1494140625,0.0
46,514.8536987304688,568.0879516601562,0.116
47,1153.621826171875,606.2825927734375,0.0
48,715.7890014648438,930.515869140625,0.32
49,564.8594970703125,496.0329895019531,0.052
50,604.2439575195312,1301.87255859375,0.208
51,1356.7286376953125,1279.6005859375,0.164
52,500.0191955566406,555.0123901367188,0.116
53,770.732666015625,326.2039489746094,0.0
54,1056.7388916015625,757.7259521484375,0.0
55,1413.2685546875,1320.8837890625,0.0
56,1216.0240478515625,956.26904296875,0.0
57,1096.602294921875,1154.3443603515625,0.0
58,1250.949462890625,262.4307556152344,0.14
59,1083.593505859375,265.8290100097656,0.14
60,1208.2618408203125,976.1839599609375,0.0
61,605.6124877929688,142.1960906982422,0.0
62,1292.5546875,218.6277313232422,0.14
63,398.9754943847656,1240.881591796875,0.208
64,714.5118408203125,401.1927490234375,0.0
65,638.4531860351562,1096.196533203125,0.08
66,1237.171875,944.85205078125,0.0
67,1094.451171875,1446.139892578125,0.0
68,639.605712890625,1216.3936767578125,0.208
69,1150.375732421875,533.3365478515625,0.0
70,573.1719970703125,787.3768310546875,0.404
71,1132.21240234375,1294.403564453125,0.164
72,1312.0743408203125,195.022216796875,0.14
73,1149.223876953125,606.8240966796875,0.0
74,255.89523315429688,937.8770141601562,0.0
75,756.8034057617188,884.4751586914062,0.32
76,575.8381958007812,539.5376586914062,0.116
77,630.8341674804688,194.754150390625,0.0
78,519.2353515625,1172.9859619140625,0.208
79,1352.9564208984375,1225.610107421875,0.164
80,1200.7919921875,899.153076171875,0.0
81,626.0325317382812,877.9223022460938,0.32
82,588.1677856445312,1313.1431884765625,0.208
83,689.0394897460938,654.3260498046875,0.116
84,212.7456817626953,919.6747436523438,0.0
85,1148.8853759765625,1233.3079833984375,0.164
86,605.635986328125,1241.2955322265625,0.208
87,809.92529296875,448.786865234375,0.0
88,1275.3197021484375,214.6125946044922,0.14
89,743.9491577148438,907.4395751953125,0.32
90,535.6837768554688,1135.9212646484375,0.208
91,914.8659057617188,1208.629150390625,0.0
92,1122.6669921875,1252.6961669921875,0.164
93,747.5101318359375,372.1248779296875,0.0
94,322.3963317871094,556.7911987304688,0.0
95,622.9473266601562,635.3718872070312,0.116
96,1090.9483642578125,1295.944091796875,0.164
97,684.6273803710938,180.967529296875,0.0
98,294.70867919921875,515.2993774414062,0.0
99,659.0338134765625,915.4358520507812,0.32
