update,reward_sum,processed_ratio_eval,drop_ratio_eval,D_sys_report,pre_backlog_steps_eval,collision_episode_fraction,training_seed,method
25,46.84264633618295,0.9569914515275468,0.0190876759812703,5.938231231919249,5.229923981209711,0.0625,45211,STARS
50,38.84247072204016,0.8958952947648529,0.032679330315344,23.190280933623463,19.123262119855973,0.09375,45211,STARS
75,41.440915594343096,0.9458483237102628,0.0228278111908857,20.682987520296916,17.662155012990407,0.0,45211,STARS
100,51.34120824420825,0.9955875108093024,0.0004578467112105,12.542264448401346,11.03634256773503,0.0,45211,STARS
125,80.83468284178525,0.998509608976543,0.000463954388033,1.0758085285322787,1.0331039688256165,0.0,45211,STARS
150,50.82979369116947,0.9983356664031742,0.0004029043620803,0.682770571737725,0.6517905478207102,0.0,45211,STARS
175,61.98472281405702,0.9988636979218573,0.0005620512656241,0.4293926746347569,0.4056615198198124,0.0,45211,STARS
200,63.69033146137372,0.9990252711065114,0.0005054614892696,0.4291916872961956,0.4045604784355237,0.0,45211,STARS
225,86.0881885420531,0.9991469215862454,0.000491472360125,0.2958458177000703,0.2737168908080412,0.0,45211,STARS
250,51.16335212253034,0.9965203231275084,0.0004945948011186,0.9651358355065384,0.9300848038540264,0.0,45211,STARS
275,124.01408808259292,0.9989015163406728,0.0004976401861258,0.2992938660516942,0.2793169105546924,0.0,45211,STARS
300,91.0747320689261,0.9992406571917236,0.0004813240512003,0.2906036123525159,0.2704671190922311,0.0,45211,STARS
325,62.79491087887436,0.999106774304062,0.0005445102456687,0.6798454511643865,0.647062443595296,0.0,45211,STARS
350,129.70771662378684,0.999085856722668,0.0006022884366066,0.3708503886338444,0.336585553624292,0.0,45211,STARS
375,152.48809724999592,0.9989838124737144,0.000655176078857,0.2109825086818404,0.1921561488096293,0.0,45211,STARS
400,164.24192290520296,0.9989545840770006,0.000678921804083,0.1915251213840488,0.1707680565039309,0.0,45211,STARS
425,66.95856154151261,0.9990007970780136,0.0005469216991291,0.7891259426390749,0.7447461467045222,0.0,45211,STARS
450,87.34712384128943,0.999197272904217,0.0005334897525208,0.7339352495574951,0.6900110267227721,0.0,45211,STARS
475,125.8683408126235,0.9992536762375384,0.0005145314075816,0.5081252969556758,0.4676620234257096,0.0,45211,STARS
500,159.33160943444818,0.9990356525499374,0.0005996714910392,0.1976001913805293,0.1732386650913573,0.0,45211,STARS
25,23.1793386770878,0.4990982250678392,0.3684652019226549,66.1642042148597,21.76484088598602,0.15625,45210,STARS
50,25.641517160693184,0.4523380815944919,0.4829951775781631,35.66442172550962,13.45875723514453,0.03125,45210,STARS
75,30.93000426422805,0.6582426232369616,0.2183030870872413,77.72268294435345,36.77147909414,0.0,45210,STARS
100,35.548807555343956,0.858988626585342,0.1158818275056115,42.69225139795223,23.630770988793586,0.0,45210,STARS
125,39.96318092662841,0.8947029344774782,0.0796962303685312,18.703996168111804,15.000644902944565,0.0,45210,STARS
150,42.22349840402603,0.9344532027468084,0.0500597550634182,13.76721499761124,11.086314696343612,0.0,45210,STARS
175,60.904117674566805,0.9871694085579364,0.0060089358303966,4.488387835934059,3.542482154832708,0.0,45210,STARS
200,93.78305441793054,0.99633343029581,0.0012934468058792,1.966149294078023,1.635648552223414,0.0,45210,STARS
225,104.78590880520642,0.9970824933433902,0.0009142795733472,1.5983565879553885,1.2813315673076255,0.0,45210,STARS
250,111.86485876934604,0.9968070016261188,0.0010701386549044,1.227925730729626,0.9931228930194104,0.0,45210,STARS
275,110.44763074023648,0.9984704113639892,0.0007056583208322,0.9021077895421208,0.742606933823526,0.0,45210,STARS
300,133.88248239038512,0.998247055316344,0.0009734394820284,0.7575961947919514,0.6157529834615604,0.0,45210,STARS
325,134.1329515944235,0.9985903719868512,0.0011462907015703,0.7641349178255954,0.6111496495841494,0.0,45210,STARS
350,141.31902069458738,0.998986927781254,0.0008725820414792,0.6800298941944518,0.5317895054750109,0.0,45210,STARS
375,148.16413150774315,0.9988651292696596,0.0007956737519734,0.667593580599207,0.5070121594867685,0.0,45210,STARS
400,156.76892443792894,0.9991391088441016,0.0007591215880354,0.5805484574876126,0.4377229846669105,0.0,45210,STARS
425,133.98813130240887,0.9983260366283356,0.0011256919912729,0.5986038428220949,0.4792971400313515,0.0,45210,STARS
450,163.49938803026453,0.9988404440842568,0.0007354463805381,0.4621827383482145,0.368198046449812,0.0,45210,STARS
475,167.57619363302365,0.999058489974588,0.0007488370062274,0.4342444813500851,0.3324570925432805,0.0,45210,STARS
500,167.48005629517138,0.9990599230136722,0.0006961987550457,0.4457917006026554,0.3372221000166572,0.0,45210,STARS
525,170.1720395963639,0.9990136237163098,0.0006960228485004,0.4215436820681751,0.3219425409755639,0.0,45210,STARS
550,170.01972158020362,0.9991858771666884,0.0006428520270992,0.4276892611245378,0.3205039842056499,0.0,45210,STARS
575,169.59474862460047,0.9991564490273592,0.0006488259337152,0.4193226863398998,0.3210360637816568,0.0,45210,STARS
600,171.71482929075137,0.9987017604131252,0.0006622079837834,0.4130931886066915,0.3139128134289042,0.0,45210,STARS
625,173.14573304913938,0.998865212652832,0.000670303534569,0.4079775352449248,0.3118146048425508,0.0,45210,STARS
650,174.26758540421724,0.9989301665276292,0.0006796689536179,0.3969314052961244,0.3063157968700387,0.0,45210,STARS
675,170.2675857772119,0.9985550608057528,0.0006144421086119,0.4520472771059258,0.3436193171391992,0.0,45210,STARS
700,70.40786484535784,0.9977413666527716,0.0007095374955097,0.7715542011902972,0.6493360430127614,0.0,45210,STARS
25,37.15326064708643,0.8580705161496167,0.0619923786876256,35.3128015363295,23.50237601191013,0.03125,61723,STARS
50,30.935213175835088,0.5394074682515867,0.2430609221419096,101.01351374016154,43.65406581528525,0.375,61723,STARS
75,34.36449012719095,0.7010077012133676,0.1631257983736338,72.75316365753778,35.088104860382806,0.0625,61723,STARS
100,37.67441592738032,0.7666543478779494,0.1022283403899375,69.9669188823998,36.81281350345908,0.0,61723,STARS
125,63.04156501265243,0.9922048503123224,0.0025488551664348,3.0648410561671064,2.2219122403680633,0.0,61723,STARS
150,62.21484096813947,0.991952404771,0.0013813202063302,3.451637193284726,2.2167131894384227,0.0,61723,STARS
175,60.27667785692029,0.995040212918073,0.0021053669287186,3.0420917602374105,1.5554345104500826,0.0,61723,STARS
200,79.49164063157514,0.9967102348972112,0.0007017151150048,1.4165494784261494,0.8937185790530503,0.0,61723,STARS
225,67.04574669990689,0.9975062016882004,0.0008514492163931,1.372378962482617,0.8561355942729281,0.0,61723,STARS
250,73.4332025765907,0.9977440482620148,0.0002162937146413,1.1885365205961278,0.7452621935340576,0.0,61723,STARS
275,99.93505314970388,0.997275263538584,0.00017985698556,0.9441697860395576,0.6421357489121674,0.0,61723,STARS
300,99.48632114334032,0.997688185609877,0.0002566735658023,0.8160042169510557,0.5839594164155416,0.0,61723,STARS
325,97.36240466847084,0.9982151151169092,0.0003200670904625,0.8026024314120713,0.5742000771765123,0.0,61723,STARS
350,110.59074975783004,0.9989439053609966,0.0002795278545982,0.770045273797959,0.5967293218800218,0.0,61723,STARS
375,64.86676314426586,0.9985726743265984,0.0004143168143018,1.0932825367653205,0.8918850300411433,0.0,61723,STARS
400,114.91024941485377,0.99860998182185,0.0003057477677211,0.6498732109326243,0.5154590369526689,0.0,61723,STARS
425,118.84448872180656,0.9982126193325968,0.0004520644187578,0.7359877641167268,0.5672358457183496,0.0,61723,STARS
450,117.2772851837799,0.9985289899930356,0.0002739857745036,0.5640882657230614,0.4583818083823712,0.0,61723,STARS
475,91.2476214945782,0.999340674530715,0.0004123424325152,0.933490957135953,0.7688407459324238,0.0,61723,STARS
500,100.06040098145604,0.9995021111275998,0.0003404640123626,0.7734705602459344,0.6503650205745105,0.0,61723,STARS
525,131.2735257553868,0.9994310038853436,0.0003212233991553,0.5193348620392458,0.439942693688977,0.0,61723,STARS
550,135.65706398850307,0.9992344938982278,0.0003083742698217,0.3752068701061564,0.3167908311555027,0.0,61723,STARS
575,149.9187901832629,0.9994321005586532,0.0002892573284234,0.4121370653953123,0.3472274974759117,0.0,61723,STARS
600,144.73400830710307,0.9993746779765932,0.0003310227750334,0.3887589665775169,0.3295415932969854,0.0,61723,STARS
625,149.86418850906193,0.9994734007902442,0.0003277993446099,0.4709670579955496,0.3948382842309443,0.0,61723,STARS
650,136.60619625076652,0.999018378192559,0.0005377856347768,0.2810682680846048,0.2472033042722372,0.0,61723,STARS
675,178.95245120301843,0.9993131379988046,0.0004169116516677,0.2195646795032173,0.1830494003108408,0.0,61723,STARS
700,200.775584960822,0.999387457044795,0.000434303511327,0.1840622099398662,0.1549315203918365,0.0,61723,STARS
25,35.53689881134778,0.8920434083831349,0.0726410860001837,12.00996716019819,5.680520551586009,0.0625,45211,STARS-GC
50,31.355712240794674,0.8308395688012244,0.141823551198915,9.830887653523591,6.910856798317282,0.0,45211,STARS-GC
75,29.586890389677137,0.7602509206145988,0.2079045340499514,14.501726542787749,9.110792167307974,0.03125,45211,STARS-GC
100,25.082232979591936,0.4505057745933299,0.4888013990155742,46.100411915943496,15.10793768780306,0.0,45211,STARS-GC
125,24.87131242477335,0.4047968103525926,0.519369249067684,59.90262097116933,16.41131141892448,0.0,45211,STARS-GC
150,25.996851484058425,0.4710194372462575,0.4566775401094782,48.26600392010064,16.364399143604558,0.0,45211,STARS-GC
175,25.709480190183967,0.4510185800821055,0.4739788385409628,57.40478843984009,16.779286365609615,0.0,45211,STARS-GC
200,25.38736316934228,0.4135646322264802,0.5040517680688608,66.75942526469753,17.67393838814646,0.0,45211,STARS-GC
225,24.81482327566482,0.3762058425146388,0.5404434619764799,100.38122363369912,18.075928580448032,0.0,45211,STARS-GC
250,24.22178607992828,0.3356981372312876,0.5791431228012371,128.13955226109175,18.480105981908743,0.0,45211,STARS-GC
275,24.02233155979775,0.3431675442584092,0.5735751438514077,116.43370257572458,18.10318236832321,0.0,45211,STARS-GC
300,21.636325672850944,0.282876582964976,0.6270358808935022,156.7552748408493,18.183196954277317,0.40625,45211,STARS-GC
325,23.325227687484585,0.3117614526530744,0.6037801150028612,131.46486840338426,18.351053644174,0.0625,45211,STARS-GC
350,23.03209898562636,0.2961855816278864,0.6198554095747794,127.72689490934498,18.16300584003164,0.125,45211,STARS-GC
375,22.195977021590807,0.2787033389991867,0.6256198828111155,149.0877612879013,17.85606221739514,0.0625,45211,STARS-GC
25,35.753185391193256,0.8588302865216976,0.0906223352281622,43.722371893525114,23.425862043380732,0.0,45210,STARS-GC
50,37.71561952680349,0.9465385296689746,0.0352946572640068,6.073061257119424,4.800808163077149,0.03125,45210,STARS-GC
75,32.25744235212915,0.910733787229408,0.0592201392999285,8.85102914679885,6.925987735810679,0.03125,45210,STARS-GC
100,29.63338415697217,0.8622471735225798,0.1107015398914823,9.255483754298718,6.790372786855161,0.0625,45210,STARS-GC
125,22.355277202790603,0.5646732557884796,0.3741539321558155,28.54015206345108,13.268325750575924,0.25,45210,STARS-GC
150,24.66547030908987,0.6947357611956985,0.2531919194270225,20.59184381559598,11.081803114704108,0.1875,45210,STARS-GC
175,20.60936912545003,0.4029377563414043,0.515603723097143,65.56507889401121,15.932103757472117,0.25,45210,STARS-GC
200,21.29170161788352,0.4963820140380335,0.416625496754343,39.082515514890765,13.986969691673554,0.34375,45210,STARS-GC
225,24.28879070270341,0.5931939506400322,0.3267950751216363,43.2256074740531,12.672289426352712,0.28125,45210,STARS-GC
250,21.484563134377822,0.6329117900723729,0.2570819701702733,25.047981042566366,10.43129258285981,0.4375,45210,STARS-GC
275,27.040309268049896,0.7098568312446687,0.2060852234096126,19.85495843283547,9.241484110637971,0.1875,45210,STARS-GC
300,27.799973242916167,0.727014929353869,0.1859683654732231,18.012223693573613,9.024373862833697,0.125,45210,STARS-GC
325,28.770793453790247,0.7308011206422682,0.1969516004143457,18.858711997857625,9.537656276710209,0.0625,45210,STARS-GC
350,28.800502352183685,0.710273370504103,0.231215751466848,22.238231471679093,10.69637652621513,0.03125,45210,STARS-GC
375,25.037929432233796,0.5795819291070321,0.3371234141201578,28.32948026071691,13.589600268460844,0.125,45210,STARS-GC
25,43.70041991584003,0.9242483131543674,0.0595301128010151,6.742036580759491,4.958053454789829,0.03125,61723,STARS-GC
50,40.44565454125405,0.9190007053725854,0.0566179810469267,7.843401341589521,5.432379230309041,0.03125,61723,STARS-GC
75,33.296298346016556,0.8318088841782882,0.1332548065765463,13.461517391693066,8.231798759259329,0.0,61723,STARS-GC
100,32.63666151766665,0.8193568699185273,0.1408068886982607,14.911703176229306,8.482117057603102,0.0,61723,STARS-GC
125,31.844648492289707,0.8323836708585733,0.1302470128991867,13.639359770030335,8.654275312807915,0.0,61723,STARS-GC
150,29.25228940672241,0.6708113827025517,0.2720206414472372,71.50544377432854,11.819809380168303,0.0,61723,STARS-GC
175,27.36692967871204,0.5801310723798815,0.3533262965401772,91.24649559678696,14.530563535846769,0.0,61723,STARS-GC
200,29.009860108606517,0.6959113270381931,0.2535278620546014,49.71290149793311,12.707718438211916,0.0,61723,STARS-GC
225,29.140776550397277,0.7204408862916751,0.226273648418698,28.255854832678324,13.094096197632084,0.0,61723,STARS-GC
250,28.65781303937547,0.6872078457466559,0.2563366318975695,34.746143629838016,14.181895535015151,0.0,61723,STARS-GC
275,28.025256846332923,0.635280013283249,0.3010294067878221,43.74569725125632,15.59688533533584,0.0,61723,STARS-GC
300,27.284175982465968,0.5736804914911043,0.3563334903696741,56.04583556702661,16.624107809948967,0.0,61723,STARS-GC
325,26.58032670803368,0.5103872925618197,0.4185424277490383,90.23139484165188,17.436198714724046,0.0,61723,STARS-GC
350,25.885380336316302,0.4600773176442598,0.4637878625051067,122.89312581213784,18.060880521837735,0.0,61723,STARS-GC
375,24.581597370794043,0.351610136990319,0.5665451881406915,191.41389517881953,19.135132122743407,0.0,61723,STARS-GC
