update,phase,reward_sum,processed_ratio_eval,drop_ratio_eval,D_sys_report,pre_backlog_steps_eval,collision_episode_fraction,training_seed
25,original,46.84264633618295,0.9569914515275468,0.0190876759812703,5.938231231919249,5.229923981209711,0.0625,45211
50,original,38.84247072204016,0.8958952947648529,0.032679330315344,23.190280933623463,19.123262119855973,0.09375,45211
75,original,41.440915594343096,0.9458483237102628,0.0228278111908857,20.682987520296916,17.662155012990407,0.0,45211
100,original,51.34120824420825,0.9955875108093024,0.0004578467112105,12.542264448401346,11.03634256773503,0.0,45211
125,original,80.83468284178525,0.998509608976543,0.000463954388033,1.0758085285322787,1.0331039688256165,0.0,45211
150,original,50.82979369116947,0.9983356664031742,0.0004029043620803,0.682770571737725,0.6517905478207102,0.0,45211
175,original,61.98472281405702,0.9988636979218573,0.0005620512656241,0.4293926746347569,0.4056615198198124,0.0,45211
200,original,63.69033146137372,0.9990252711065114,0.0005054614892696,0.4291916872961956,0.4045604784355237,0.0,45211
225,original,86.0881885420531,0.9991469215862454,0.000491472360125,0.2958458177000703,0.2737168908080412,0.0,45211
250,original,51.16335212253034,0.9965203231275084,0.0004945948011186,0.9651358355065384,0.9300848038540264,0.0,45211
275,original,124.01408808259292,0.9989015163406728,0.0004976401861258,0.2992938660516942,0.2793169105546924,0.0,45211
300,original,91.0747320689261,0.9992406571917236,0.0004813240512003,0.2906036123525159,0.2704671190922311,0.0,45211
325,original,62.79491087887436,0.999106774304062,0.0005445102456687,0.6798454511643865,0.647062443595296,0.0,45211
350,original,129.70771662378684,0.999085856722668,0.0006022884366066,0.3708503886338444,0.336585553624292,0.0,45211
375,original,152.48809724999592,0.9989838124737144,0.000655176078857,0.2109825086818404,0.1921561488096293,0.0,45211
400,original,164.24192290520296,0.9989545840770006,0.000678921804083,0.1915251213840488,0.1707680565039309,0.0,45211
425,original,66.95856154151261,0.9990007970780136,0.0005469216991291,0.7891259426390749,0.7447461467045222,0.0,45211
450,original,87.34712384128943,0.999197272904217,0.0005334897525208,0.7339352495574951,0.6900110267227721,0.0,45211
475,original,125.8683408126235,0.9992536762375384,0.0005145314075816,0.5081252969556758,0.4676620234257096,0.0,45211
500,original,159.33160943444818,0.9990356525499374,0.0005996714910392,0.1976001913805293,0.1732386650913573,0.0,45211
525,continuation,160.95704003889114,0.9990911794230344,0.00060681612201,0.166717435647495,0.1522825901905385,0.0,45211
550,continuation,74.27108268346637,0.9991983750406652,0.0005755768375038,0.7377076306072705,0.6956148007026325,0.0,45211
575,continuation,51.54114442365244,0.9986338871233164,0.0004707699729806,1.263563879032061,1.202251400424765,0.0,45211
600,continuation,57.371037737699226,0.998541866347194,0.0004769092874339,1.6364642610179096,1.5076459992377074,0.0,45211
625,continuation,45.47295362967998,0.9931291767396032,0.0004200898089547,1.5405727370629316,1.4528470118953845,0.0,45211
650,continuation,47.66689592623152,0.9964242932908238,0.0004485290486918,1.2056301403928082,1.1504813355241204,0.0,45211
675,continuation,44.56224854057655,0.9935555827599016,0.0004183367960722,1.6253787935708242,1.5256813949963544,0.0,45211
700,continuation,42.29047995689325,0.9905768490545452,0.0004297338930082,2.057667625245682,1.9212238361207417,0.0,45211
25,original,23.1793386770878,0.4990982250678392,0.3684652019226549,66.1642042148597,21.76484088598602,0.15625,45210
50,original,25.641517160693184,0.4523380815944919,0.4829951775781631,35.66442172550962,13.45875723514453,0.03125,45210
75,original,30.93000426422805,0.6582426232369616,0.2183030870872413,77.72268294435345,36.77147909414,0.0,45210
