episode,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,gu_queue_mean,uav_queue_mean,sat_queue_mean,queue_total_mean,arrival_sum,outflow_sum,backhaul_sum,sat_processed_sum,drop_sum,outflow_arrival_ratio,sat_incoming_arrival_ratio,sat_processed_arrival_ratio,sat_processed_incoming_ratio,drop_ratio,step_count,processed_ratio_total,drop_ratio_total,pre_backlog_total,D_sys_total,x_acc_total,x_rel_total,g_pre_total,d_pre_total,sat_overlap_total,arrival_step_mean,outflow_step_mean,backhaul_step_mean,sat_processed_step_mean,drop_sum_active,gu_drop_sum,uav_drop_sum,sat_drop_sum,active_drop_ratio,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio
0.0,39.58247293531895,4079.5106196403503,-70837.62137794495,0.8285005279779434,0.15374862308893353,6.313032347202301,8.898631773948669,0.8285005226135254,0.8285005279779434,0.017749958949396388,0.15374862308893353,0.997333333492279,0.0,0.0,250.0,12463061.0432,1086689.9626666666,0.0,252521290.752,9999990968.0,8285005142.0,8285005217.0,8285005217.0,1537486212.0,0.8285012625023402,0.8285012700023471,0.8285012700023471,1.0,0.1537487600658801,250.0,207.12513199448586,38.43715577223338,1578.2580868005753,2224.6579434871674,207.12513065338135,207.12513199448586,4.437489737349097,38.43715577223338,249.33333337306976,39999963.872,33140020.568,33140020.868,33140020.868,1537486212.0,1537486212.0,0.0,0.0,0.1537487600658801,0.1537487600658801,0.0,0.0
1.0,32.21353933215141,3683.7273931503296,-414154.7775001526,0.4897833187282085,0.459236245572567,10.422820740699768,25.23035255432129,0.4897833351492882,0.4897833187282085,0.05097002023644746,0.459236245572567,0.9706666684150695,0.0,0.0,250.0,20789560.766400002,373869.7386666667,0.0,416912824.544,9999896016.0,4897833300.0,4897833140.25,4897833140.25,4592362400.0,0.4897884230159379,0.48978840704077176,0.48978840704077176,1.0,0.45924101537177425,250.0,122.44582968205214,114.80906139314175,2605.705185174942,6307.588138580322,122.44583378732204,122.44582968205214,12.742505059111863,114.80906139314175,242.6666671037674,39999584.064,19591333.2,19591332.561,19591332.561,4592362400.0,4592362400.0,0.0,0.0,0.45924101537177425,0.45924101537177425,0.0,0.0
2.0,35.79595374315977,3890.2632236480713,-177261.23235321045,0.6597054389417172,0.3096239922195673,9.870077633857727,21.177264528274534,0.6599038240611553,0.6597054389417172,0.03068074311222881,0.3096239922195673,0.9813333344459534,0.0,0.0,250.0,19613700.9852,843026.7733333333,0.0,394803100.024,10000101612.0,6599038174.0,6597054309.75,6597054309.75,3096239872.0,0.659897112053465,0.6596987276442886,0.6596987276442886,1.0,0.3096208410807096,250.0,164.9263597354293,77.40599805489182,2467.5194084644318,5294.316132068634,164.97595601528883,164.9263597354293,7.670185778057203,77.40599805489182,245.33333361148834,40000406.448,26396152.696,26388217.239,26388217.239,3096239872.0,3096239872.0,0.0,0.0,0.3096208410807096,0.3096208410807096,0.0,0.0
3.0,32.746513687074184,3415.755005836487,-628106.9406604767,0.5079069811701774,0.4441028568223119,10.263361901521682,30.23956197166443,0.5079069724977017,0.5079069811701774,0.04800000056810677,0.4441028568223119,0.9840000009536743,0.0,0.0,250.0,20419679.424000002,713627.4773333333,0.0,410534470.912,10000098248.0,5079069670.0,5079069754.25,5079069754.25,4441028516.0,0.5079019769646567,0.507901985389574,0.507901985389574,1.0,0.44409848842117094,250.0,126.97674529254436,111.02571420557797,2565.8404753804207,7559.890492916107,126.97674312442541,126.97674529254436,12.000000142026693,111.02571420557797,246.00000023841858,40000392.992,20316278.68,20316279.017,20316279.017,4441028516.0,4441028516.0,0.0,0.0,0.44409848842117094,0.44409848842117094,0.0,0.0
4.0,37.07460194826126,4167.800714492798,-92920.66848373413,0.7417408664226532,0.23318760687392204,8.209966737031937,12.327375457763672,0.7420935650467873,0.7417408664226532,0.02507963396771811,0.23318760687392204,0.9853333342075348,0.0,0.0,250.0,16168508.8688,1676162.5599999998,0.0,328398664.992,10000080900.0,7420935579.0,7417408580.0,7417408580.0,2331876040.0,0.7420875544116848,0.7417348573650039,0.7417348573650039,1.0,0.2331857175275452,250.0,185.4352166056633,58.29690171848051,2052.491684257984,3081.843864440918,185.52339126169682,185.4352166056633,6.269908491929527,58.29690171848051,246.3333335518837,40000323.6,29683742.316,29669634.32,29669634.32,2331876040.0,2331876040.0,0.0,0.0,0.2331857175275452,0.2331857175275452,0.0,0.0
5.0,29.093939915299416,3487.303375720978,-5140649.839902878,0.32612271386384967,0.5962650762628764,15.449934923648835,60.09971512699127,0.3261227089166641,0.32612271386384967,0.07761430454812944,0.5962650762628764,0.981333333492279,0.0,0.0,250.0,30899227.8328,4277.76,0.0,617997389.936,10000020684.0,3261227056.0,3261227104.5,3261227104.5,5962650692.0,0.32612203104919096,0.32612203589918093,0.32612203589918093,1.0,0.5962638358878819,250.0,81.53067846596241,149.0662690657191,3862.4837309122086,15024.928781747818,81.53067722916603,81.53067846596241,19.40357613703236,149.0662690657191,245.33333337306976,40000082.736,13044908.224,13044908.418,13044908.418,5962650692.0,5962650692.0,0.0,0.0,0.5962638358878819,0.5962638358878819,0.0,0.0
6.0,39.29271913319826,4136.673102378845,-161606.1291255951,0.8531280349493027,0.13188019215810345,5.385181233882904,6.825566993236542,0.8536878144741058,0.8531280349493027,0.0149913440667151,0.13188019215810345,0.9933333337306977,0.0,0.0,250.0,10580309.1312,1267021.4826666666,0.0,215407246.992,9999995620.0,8536878060.0,8531280267.0,8531280267.0,1318801904.0,0.8536881799154228,0.8531284003702394,0.8531284003702394,1.0,0.1318802481635487,250.0,213.28200873732567,32.970048039525864,1346.295308470726,1706.3917483091354,213.42195361852646,213.28200873732567,3.747836016678775,32.970048039525864,248.3333334326744,39999982.48,34147512.24,34125121.068,34125121.068,1318801904.0,1318801904.0,0.0,0.0,0.1318802481635487,0.1318802481635487,0.0,0.0
7.0,35.61168295145035,3690.888512611389,-153972.85020256042,0.6132557785511017,0.36008395078405736,7.965540412187576,15.255102472305298,0.6132557761669158,0.6132557785511017,0.026661346424371003,0.36008395078405736,0.9940000002384186,0.0,0.0,250.0,15738850.5472,1281533.952,0.0,318621612.8,10000010736.0,6132557682.0,6132557716.0,6132557716.0,3600839460.0,0.6132551098093141,0.6132551132093105,0.6132551132093105,1.0,0.3600835594142906,250.0,153.31394463777542,90.02098769601434,1991.385103046894,3813.7756180763245,153.31394404172897,153.31394463777542,6.665336606092751,90.02098769601434,248.50000005960464,40000042.944,24530230.728,24530230.864,24530230.864,3600839460.0,3600839460.0,0.0,0.0,0.3600835594142906,0.3600835594142906,0.0,0.0
8.0,40.03058794140816,3899.8289890289307,-50793.89680862427,0.8217030301094055,0.13064954178314656,7.211760061502456,9.193173273086547,0.8217030109167099,0.8217030301094055,0.047660439133411274,0.13064954178314656,0.9840000009536743,0.0,0.0,250.0,14247356.1776,1174425.2586666667,0.0,288470399.328,10000129784.0,8217030014.0,8217030188.0,8217030188.0,1306495400.0,0.8216923371481716,0.8216923545479458,0.8216923545479458,1.0,0.13064784440001623,250.0,205.42575752735138,32.66238544578664,1802.9400153756142,2298.293318271637,205.42575272917747,205.42575752735138,11.915109783352818,32.66238544578664,246.00000023841858,40000519.136,32868120.056,32868120.752,32868120.752,1306495400.0,1306495400.0,0.0,0.0,0.13064784440001623,0.13064784440001623,0.0,0.0
9.0,38.68204516172409,3982.136368751526,-73484.10313796997,0.7748756600916386,0.18789959192089736,8.587679738521576,17.049096042633057,0.774875663921237,0.7748756600916386,0.037213863095268605,0.18789959192089736,0.9866666674613953,0.0,0.0,250.0,17021618.4128,1024939.1786666666,0.0,343507185.856,9999891132.0,7748756561.0,7748756518.5,7748756518.5,1878995896.0,0.7748840921081339,0.7748840878580877,0.7748840878580877,1.0,0.18790163524752262,250.0,193.71891502290964,46.97489798022434,2146.919934630394,4262.274010658264,193.71891598030925,193.71891502290964,9.303465773817152,46.97489798022434,246.66666686534882,39999564.528,30995026.244,30995026.074,30995026.074,1878995896.0,1878995896.0,0.0,0.0,0.18790163524752262,0.18790163524752262,0.0,0.0
