episode,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,gu_queue_mean,uav_queue_mean,sat_queue_mean,queue_total_mean,arrival_sum,outflow_sum,backhaul_sum,sat_processed_sum,drop_sum,outflow_arrival_ratio,sat_incoming_arrival_ratio,sat_processed_arrival_ratio,sat_processed_incoming_ratio,drop_ratio,step_count,processed_ratio_total,drop_ratio_total,pre_backlog_total,D_sys_total,x_acc_total,x_rel_total,g_pre_total,d_pre_total,sat_overlap_total,arrival_step_mean,outflow_step_mean,backhaul_step_mean,sat_processed_step_mean,drop_sum_active,gu_drop_sum,uav_drop_sum,sat_drop_sum,active_drop_ratio,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio
0.0,33.34468747675419,4599.779134750366,-236656.50768852234,0.6138877736628056,0.35727611984871327,12.295161020040512,31.12801894426346,0.6162860291004181,0.6138877736628056,0.028835216488689183,0.35727611984871327,0.8133333435058594,0.0,0.0,250.0,24397784.7628,1283579.9039999999,0.0,491806434.96,9999990968.0,6162860224.0,6138877675.0,6138877675.0,3572761156.0,0.6162865790300381,0.6138883219639324,0.6138883219639324,1.0,0.35727643829207906,250.0,153.4719434157014,89.31902996217832,3073.790255010128,7782.004736065865,154.07150727510452,153.4719434157014,7.208804122172296,89.31902996217832,203.33333587646484,39999963.872,24651440.896,24555510.7,24555510.7,3572761156.0,3572761156.0,0.0,0.0,0.35727643829207906,0.35727643829207906,0.0,0.0
1.0,33.02785566449165,3890.519895553589,-233931.4100933075,0.3896047154068947,0.5620356581117958,12.811004227161407,43.183750955581665,0.38985621398687365,0.3896047154068947,0.0483492929773638,0.5620356581117958,0.8213333418369293,0.0,0.0,250.0,25593119.7824,192588.62933333335,0.0,512440161.536,9999896016.0,3898562104.0,3896047110.25,3896047110.25,5620356496.0,0.38986026432297255,0.38960876233275427,0.38960876233275427,1.0,0.5620414939322705,250.0,97.40117885172367,140.50891452794895,3202.751056790352,10795.937738895416,97.4640534967184,97.40117885172367,12.08732324434095,140.50891452794895,205.33333545923233,39999584.064,15594248.416,15584188.441,15584188.441,5620356496.0,5620356496.0,0.0,0.0,0.5620414939322705,0.5620414939322705,0.0,0.0
2.0,34.868035323917866,4229.0411949157715,-154387.57738494873,0.6267471374571323,0.35372350964322685,11.086160320520401,24.303882768154143,0.6271487543582916,0.6267471374571323,0.019539518714882433,0.35372350964322685,0.7820000110864639,0.0,0.0,250.0,22087762.834400002,563717.12,0.0,443446408.048,10000101612.0,6271487478.0,6267471311.5,6267471311.5,3537235048.0,0.6271423752808963,0.6267407627117619,0.6267407627117619,1.0,0.3537199105812446,250.0,156.68678436428308,88.43087741080672,2771.5400801301003,6075.970692038536,156.7871885895729,156.68678436428308,4.884879678720608,88.43087741080672,195.50000277161598,40000406.448,25085949.912,25069885.246,25069885.246,3537235048.0,3537235048.0,0.0,0.0,0.3537199105812446,0.3537199105812446,0.0,0.0
3.0,34.156570076942444,4005.656843185425,-217572.15579223633,0.5531338488459587,0.41564464329183104,10.455563269138336,25.32450217628479,0.5534578503370285,0.5531338488459587,0.031231334675103428,0.41564464329183104,0.7513333450555801,0.0,0.0,250.0,20792568.9608,790382.2506666667,0.0,418222525.776,10000098248.0,5534578434.0,5531338433.25,5531338433.25,4156446384.0,0.5534524058408031,0.5531284089490077,0.5531284089490077,1.0,0.41564055481467704,250.0,138.28346221148968,103.91116082295775,2613.890817284584,6331.1255440711975,138.36446258425713,138.28346221148968,7.8078336687758565,103.91116082295775,187.83333626389503,40000392.992,22138313.736,22125353.733,22125353.733,4156446384.0,4156446384.0,0.0,0.0,0.41564055481467704,0.41564055481467704,0.0,0.0
4.0,38.625180549919605,4206.835385322571,-115168.67205238342,0.8358912258148193,0.15147267420217395,6.617380858659744,9.28419801235199,0.8381082016825676,0.8358912258148193,0.012644168799277395,0.15147267420217395,0.7086666803359986,0.0,0.0,250.0,12966577.2156,1787895.6373333333,0.0,264695231.192,10000080900.0,8381081906.0,8358912171.0,8358912171.0,1514726720.0,0.8381014103595902,0.8358844547947607,0.8358844547947607,1.0,0.15147144659599704,250.0,208.97280645370483,37.86816855054349,1654.345214664936,2321.0495030879974,209.5270504206419,208.97280645370483,3.1610421998193488,37.86816855054349,177.16667008399963,40000323.6,33524327.624,33435648.684,33435648.684,1514726720.0,1514726720.0,0.0,0.0,0.15147144659599704,0.15147144659599704,0.0,0.0
5.0,38.875976011157036,3806.3355226516724,-75784.73234939575,0.7681197128891945,0.21150483962206634,5.781160011291504,8.639743621826172,0.7681197110414505,0.7681197128891945,0.02037753313779831,0.21150483962206634,0.7526666799783707,0.0,0.0,250.0,11442384.7416,799567.872,0.0,231246398.384,10000020684.0,7681197005.0,7681197026.0,7681197026.0,2115048372.0,0.7681181117244977,0.7681181138244934,0.7681181138244934,1.0,0.2115043997242996,250.0,192.02992822229862,52.87620990551659,1445.290002822876,2159.935905456543,192.02992776036263,192.02992822229862,5.094383284449577,52.87620990551659,188.16666999459267,40000082.736,30724788.02,30724788.104,30724788.104,2115048372.0,2115048372.0,0.0,0.0,0.2115043997242996,0.2115043997242996,0.0,0.0
6.0,28.42117440700531,4216.685383796692,-10043805.219917297,0.7366345711946487,0.20383871180657298,10.284967095851899,16.199353804588316,0.7379939712285996,0.7366345711946487,0.05952631818369264,0.20383871180657298,0.83733334171772,0.0,0.0,250.0,20329287.242399998,1604311.7226666666,0.0,411398679.792,9999995620.0,7379939610.0,7366345615.0,7366345615.0,2038387096.0,0.7379942842414965,0.7366348841460792,0.7366348841460792,1.0,0.20383879888139392,250.0,184.15864279866219,50.95967795164324,2571.2417739629745,4049.8384511470795,184.4984928071499,184.15864279866219,14.88157954592316,50.95967795164324,209.33333542943,39999982.48,29519758.44,29465382.46,29465382.46,2038387096.0,2038387096.0,0.0,0.0,0.20383879888139392,0.20383879888139392,0.0,0.0
7.0,31.928452715277672,4054.7110919952393,-885310.9162893295,0.5350534719824791,0.43658641778654417,12.189372344493865,26.84722202348709,0.5356467339396477,0.5350534719824791,0.02836116763728205,0.43658641778654417,0.7860000108480454,0.0,0.0,250.0,24315083.912,424402.94399999996,0.0,487574887.072,10000010736.0,5356467274.0,5350534658.0,5350534658.0,4365864132.0,0.5356461523302909,0.5350528913672158,0.5350528913672158,1.0,0.43658594448133,250.0,133.76336799561977,109.14660444663605,3047.3430861234665,6711.805505871773,133.91168348491192,133.76336799561977,7.090291909320513,109.14660444663605,196.50000271201134,40000042.944,21425869.096,21402138.632,21402138.632,4365864132.0,4365864132.0,0.0,0.0,0.43658594448133,0.43658594448133,0.0,0.0
8.0,39.887037962675095,4066.989984512329,-57376.1353225708,0.8359897242188453,0.137578575856518,6.970367898225784,10.303909008979797,0.8359897054433822,0.8359897242188453,0.02644470424123574,0.137578575856518,0.7673333451747895,0.0,0.0,250.0,13632499.968,2054904.4906666668,0.0,278814712.832,10000129784.0,8359896960.0,8359897138.0,8359897138.0,1375785740.0,0.8359788463321408,0.8359788641319098,0.8359788641319098,1.0,0.13757678847340848,250.0,208.99743105471134,34.3946439641295,1742.591974556446,2575.9772522449493,208.99742636084557,208.99743105471134,6.611176060308935,34.3946439641295,191.83333629369736,40000519.136,33439587.84,33439588.552,33439588.552,1375785740.0,1375785740.0,0.0,0.0,0.13757678847340848,0.13757678847340848,0.0,0.0
9.0,41.382720708847046,4333.122556686401,-74948.86758995056,0.8117093237042428,0.17333709742547945,7.328569020271301,16.148318962574006,0.8135048125982285,0.8117093237042428,0.01494268762867432,0.17333709742547945,0.796666677236557,0.0,0.0,250.0,14442192.3264,1432970.24,0.0,293142757.248,9999891132.0,8135048054.0,8117093146.5,8117093146.5,1733370956.0,0.813513661960535,0.8117181516631735,0.8117181516631735,1.0,0.17333898270683692,250.0,202.92733092606068,43.33427435636986,1832.1422550678253,4037.0797406435013,203.3762031495571,202.92733092606068,3.73567190716858,43.33427435636986,199.16666930913925,39999564.528,32540192.216,32468372.586,32468372.586,1733370956.0,1733370956.0,0.0,0.0,0.17333898270683692,0.17333898270683692,0.0,0.0
10.0,32.13460747897625,3884.285539627075,-711566.8700046539,0.5713640248775482,0.3865368387057679,9.455101412534713,19.473140897274018,0.5713640105724335,0.5713640248775482,0.042096038509705974,0.3865368387057679,0.7760000107288361,0.0,0.0,250.0,18824604.209200002,570656.0853333334,0.0,378204052.312,9999968764.0,5713640044.0,5713640185.5,5713640185.5,3865368352.0,0.5713657891181789,0.5713658032682231,0.5713658032682231,1.0,0.38653804259022984,250.0,142.84100621938705,96.63420967644197,2363.7753531336784,4868.285224318504,142.84100264310837,142.84100621938705,10.524009627426494,96.63420967644197,194.00000268220901,39999875.056,22854560.176,22854560.742,22854560.742,3865368352.0,3865368352.0,0.0,0.0,0.38653804259022984,0.38653804259022984,0.0,0.0
11.0,35.76296456158161,4408.55428647995,-143527.55547523499,0.7942619129419327,0.19205371185264083,7.850567407131195,12.706121570587158,0.7946735702753067,0.7942619129419327,0.013706610307097435,0.19205371185264083,0.8200000087022782,0.0,0.0,250.0,15497907.908000002,1354844.672,0.0,314022692.272,10000222560.0,7946735607.0,7942619036.0,7942619036.0,1920537096.0,0.7946558748388496,0.7942442269004861,0.7942442269004861,1.0,0.1920494353477669,250.0,198.56547823548317,48.01342796316021,1962.6418517827988,3176.5303926467896,198.66839256882668,198.56547823548317,3.4266525767743587,48.01342796316021,205.00000217556953,40000890.24,31786942.428,31770476.144,31770476.144,1920537096.0,1920537096.0,0.0,0.0,0.1920494353477669,0.1920494353477669,0.0,0.0
12.0,32.476747162640095,3650.8780698776245,-491992.28332901,0.5530255166590213,0.38402641685842537,10.814776087522507,27.108153885364533,0.5530254851281643,0.5530255166590213,0.06294618947510025,0.38402641685842537,0.7720000115633011,0.0,0.0,250.0,21435226.3192,1295504.0426666667,0.0,432591038.384,9999980912.0,5530254790.0,5530255104.5,5530255104.5,3840264128.0,0.5530265346170493,0.5530265660671093,0.5530265660671093,1.0,0.38402714583101594,250.0,138.25637916475534,96.00660421460634,2703.6940218806267,6777.038471341133,138.25637128204107,138.25637916475534,15.736547368775064,96.00660421460634,193.00000289082527,39999923.648,22121019.16,22121020.418,22121020.418,3840264128.0,3840264128.0,0.0,0.0,0.38402714583101594,0.38402714583101594,0.0,0.0
13.0,31.746011458337307,3914.86927986145,-526957.1171569824,0.5788639605641365,0.34042496712505815,11.711085573911667,32.21499483108521,0.5788639501333237,0.5788639605641365,0.08071453489434498,0.34042496712505815,0.7480000106096267,0.0,0.0,250.0,23260567.972,1077352.6186666668,0.0,468443417.232,10000034480.0,5788639432.0,5788639547.75,5788639547.75,3404249628.0,0.5788619472840058,0.5788619588589659,0.5788619588589659,1.0,0.34042378901877546,250.0,144.71599014103413,85.10624178126454,2927.7713934779167,8053.748707771301,144.71598753333092,144.71599014103413,20.178633723586245,85.10624178126454,187.0000026524067,40000137.92,23154557.728,23154558.191,23154558.191,3404249628.0,3404249628.0,0.0,0.0,0.34042378901877546,0.34042378901877546,0.0,0.0
14.0,29.405473612248898,3938.4346795082092,-6376729.836415291,0.45878475975990296,0.47017210376635193,13.707322380304337,41.89468109750748,0.45878476709127425,0.45878475975990296,0.07103539279941469,0.47017210376635193,0.8020000097751617,0.0,0.0,250.0,27325171.4344,596486.6560000001,0.0,548292888.656,9999922516.0,4587847615.0,4587847534.5,4587847534.5,4701720988.0,0.4587883163753906,0.45878830832532824,0.45878830832532824,1.0,0.4701757419097186,250.0,114.69618993997574,117.54302594158798,3426.830595076084,10473.67027437687,114.69619177281857,114.69618993997574,17.758848199853674,117.54302594158798,200.50000244379044,39999690.064,18351390.46,18351390.138,18351390.138,4701720988.0,4701720988.0,0.0,0.0,0.4701757419097186,0.4701757419097186,0.0,0.0
15.0,35.821243926882744,4058.2013874053955,-120961.9556350708,0.6198553124666214,0.3299918729942292,9.549103353261948,17.81450292158127,0.6207859656214714,0.6198553124666214,0.05013169968686998,0.3299918729942292,0.7680000114440918,0.0,0.0,250.0,18926961.3136,1141634.56,0.0,381964129.952,9999788840.0,6207859578.0,6198553069.5,6198553069.5,3299918700.0,0.6207990665930901,0.6198683960910518,0.6198683960910518,1.0,0.3299988382554686,250.0,154.96382811665535,82.4979682485573,2387.275838315487,4453.625730395317,155.19649140536785,154.96382811665535,12.532924921717495,82.4979682485573,192.00000286102295,39999155.36,24831438.312,24794212.278,24794212.278,3299918700.0,3299918700.0,0.0,0.0,0.3299988382554686,0.3299988382554686,0.0,0.0
16.0,32.14382587373257,3466.198947429657,-471854.35737228394,0.41679408970475196,0.5383105955570936,10.437305663108825,30.30489965057373,0.41732786735892297,0.41679408970475196,0.04488154925056733,0.5383105955570936,0.7560000128746033,0.0,0.0,250.0,20814708.8208,399348.39466666663,0.0,417492221.6,9999862444.0,4173278614.0,4167940841.0,4167940841.0,5383105896.0,0.4173336020740967,0.4167998174315687,0.4167998174315687,1.0,0.538317994487005,250.0,104.19852242618799,134.5776488892734,2609.3264157772064,7576.224912643433,104.33196683973074,104.19852242618799,11.220387312641833,134.5776488892734,189.00000321865082,39999449.776,16693114.456,16671763.364,16671763.364,5383105896.0,5383105896.0,0.0,0.0,0.538317994487005,0.538317994487005,0.0,0.0
17.0,35.85920141637325,4239.883712768555,-191285.58211135864,0.7516737666130066,0.22107121273502708,7.589710339307785,12.982388967990875,0.7535322027206421,0.7516737666130066,0.027250393420923502,0.22107121273502708,0.7246666797399521,0.0,0.0,250.0,14956191.159200002,1488195.7546666667,0.0,303588410.512,9999953824.0,7535321936.0,7516737577.0,7516737577.0,2210712096.0,0.7535356731263242,0.751677228644771,0.751677228644771,1.0,0.2210722304231312,250.0,187.91844165325165,55.26780318375677,1897.4275848269463,3245.597241997719,188.38305068016052,187.91844165325165,6.812598355230875,55.26780318375677,181.16666993498802,39999815.296,30141287.744,30066950.308,30066950.308,2210712096.0,2210712096.0,0.0,0.0,0.2210722304231312,0.2210722304231312,0.0,0.0
18.0,47.33842332661152,4142.730191230774,-178409.7098196894,0.8761132835149765,0.1118820688938722,5.195128339945804,7.451278369466774,0.8783367339372635,0.8761132835149765,0.01200146667053923,0.1118820688938722,0.7680000121593475,0.0,0.0,250.0,10131031.0998,1728169.6426666668,0.0,207805130.764,9999968248.0,8783367273.0,8761132761.0,8761132761.0,1118820680.0,0.8783395162036318,0.8761160579437072,0.8761160579437072,1.0,0.1118824232490703,250.0,219.02832087874413,27.97051722346805,1298.782084986451,1862.8195923666935,219.58418348431587,219.02832087874413,3.0003666676348075,27.97051722346805,192.00000303983688,39999872.992,35133469.092,35044531.044,35044531.044,1118820680.0,1118820680.0,0.0,0.0,0.1118824232490703,0.1118824232490703,0.0,0.0
19.0,30.5510201305151,3718.7062287330627,-2101896.3438186646,0.5927406462430954,0.3529187741652131,9.755667032003403,19.301827440738677,0.5927406642436981,0.5927406462430954,0.054342746291542426,0.3529187741652131,0.8040000097751617,0.0,0.0,250.0,19417057.963600002,628506.112,0.0,390226677.544,10000021748.0,5927406580.0,5927406390.0,5927406390.0,3529187696.0,0.5927393689104204,0.5927393499104618,0.5927393499104618,1.0,0.3529180020739291,250.0,148.18516156077385,88.22969354130328,2438.9167580008507,4825.4568601846695,148.18516606092453,148.18516156077385,13.585686572885606,88.22969354130328,201.00000244379044,40000086.992,23709626.32,23709625.56,23709625.56,3529187696.0,3529187696.0,0.0,0.0,0.3529180020739291,0.3529180020739291,0.0,0.0
20.0,35.393443912267685,4050.7413997650146,-402826.147026062,0.702128420829773,0.24506898034363986,8.016841068267823,15.55637670135498,0.7042996585965157,0.702128420829773,0.05279303450090811,0.24506898034363986,0.8053333439826965,0.0,0.0,250.0,15826282.911199998,1382660.0960000001,0.0,320673638.384,9999904052.0,7042996503.0,7021284128.0,7021284128.0,2450689776.0,0.7043064079791233,0.7021351496463338,0.7021351496463338,1.0,0.24507132901038758,250.0,175.53210520744324,61.26724508590996,2004.2102670669556,3889.094175338745,176.0749146491289,175.53210520744324,13.198258625227027,61.26724508590996,201.33333599567413,39999616.208,28171986.012,28085136.512,28085136.512,2450689776.0,2450689776.0,0.0,0.0,0.24507132901038758,0.24507132901038758,0.0,0.0
21.0,33.36599937826395,4000.106078147888,-229535.59768676758,0.526656857073307,0.4247114519029856,11.52917033958435,27.17338651561737,0.5272967287898064,0.526656857073307,0.04862949180835858,0.4247114519029856,0.7846666755676269,0.0,0.0,250.0,22942264.1276,773841.7493333333,0.0,461166807.928,9999978544.0,5272967225.0,5266568497.75,5266568497.75,4247114460.0,0.5272978538702753,0.5266579797723614,0.5266579797723614,1.0,0.42471235726283374,250.0,131.66421426832676,106.1778629757464,2882.2925848960876,6793.346628904343,131.8241821974516,131.66421426832676,12.157372952089645,106.1778629757464,196.16666889190674,39999914.176,21091868.9,21066273.991,21066273.991,4247114460.0,4247114460.0,0.0,0.0,0.42471235726283374,0.42471235726283374,0.0,0.0
