episode,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,gu_queue_mean,uav_queue_mean,sat_queue_mean,queue_total_mean,arrival_sum,outflow_sum,backhaul_sum,sat_processed_sum,drop_sum,outflow_arrival_ratio,sat_incoming_arrival_ratio,sat_processed_arrival_ratio,sat_processed_incoming_ratio,drop_ratio,step_count,processed_ratio_total,drop_ratio_total,pre_backlog_total,D_sys_total,x_acc_total,x_rel_total,g_pre_total,d_pre_total,sat_overlap_total,arrival_step_mean,outflow_step_mean,backhaul_step_mean,sat_processed_step_mean,drop_sum_active,gu_drop_sum,uav_drop_sum,sat_drop_sum,active_drop_ratio,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio
0.0,37.5390659570694,4424.329912185669,-82231.0726928711,0.6721411954164505,0.2842586748721078,10.619550703048706,18.345308825969695,0.6721411522626877,0.6721411954164505,0.04359862526226789,0.2842586748721078,0.5636666800379753,0.0,0.0,250.0,20398304.8144,5605308.757333334,0.0,424782022.688,9999984292.0,6721411443.0,6721411876.5,6721411876.5,2842586720.0,0.6721422001009679,0.672142243451036,0.672142243451036,1.0,0.28425911851422336,250.0,168.03529885411263,71.06466871802695,2654.8876757621765,4586.327206492424,168.03528806567192,168.03529885411263,10.899656315566972,71.06466871802695,140.91667000949383,39999937.168,26885645.772,26885647.506,26885647.506,2842586720.0,2842586720.0,0.0,0.0,0.28425911851422336,0.28425911851422336,0.0,0.0
1.0,175.30993568897247,3257.4707460403442,-3309.944546708837,0.995148532629013,0.0,0.7883040497382171,0.8530866336063482,0.9951485493183136,0.995148532629013,0.00485457183692688,0.0,0.43800001245737075,0.0,0.0,250.0,1532255.7216,295682.3893333333,0.0,31532161.616,10000031148.0,9951485376.0,9951485190.0,9951485190.0,0.0,0.99514543792099,0.9951454193210479,0.9951454193210479,1.0,0.0,250.0,248.78713315725327,0.0,197.0760124345543,213.27165840158705,248.7871373295784,248.78713315725327,1.21364295923172,0.0,109.50000311434269,40000124.592,39805941.504,39805940.76,39805940.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,89.25681236386299,3829.585856437683,-11728.133987680078,0.9816433631181717,0.010547921735793352,2.4259941030964254,2.8134069178700445,0.9824560428857804,0.9816433631181717,0.007801490917713181,0.010547921735793352,0.465666675567627,0.0,0.0,250.0,4703966.859,986808.6613333334,0.0,97039763.108,9999927628.0,9824560299.0,9816433518.0,9816433518.0,105479216.0,0.9824631401822381,0.9816504562006816,0.9816504562006816,1.0,0.010547997937970677,250.0,245.41084077954292,2.636980433948338,606.4985257741064,703.3517294675112,245.61401072144508,245.41084077954292,1.9503727294282953,2.636980433948338,116.41666889190674,39999710.512,39298241.196,39265734.072,39265734.072,105479216.0,105479216.0,0.0,0.0,0.010547997937970677,0.010547997937970677,0.0,0.0
3.0,72.62752559781075,3183.5757331848145,-16394.2682708418,0.9040185356140137,0.09598377421498298,4.327977933649905,5.725284479391296,0.9040185120105744,0.9040185356140137,-2.6868656277656553e-10,0.09598377421498298,0.6080000084638596,0.0,0.0,250.0,8166199.890000001,3265039.0186666665,0.0,173119115.144,10000022796.0,9040185016.0,9040185264.0,9040185264.0,959837732.0,0.9040164408041216,0.904016465604065,0.904016465604065,1.0,0.0959835543958894,250.0,226.00463390350342,23.995943553745747,1081.9944834124763,1431.3211198478239,226.00462800264359,226.00463390350342,-6.717164069414139e-08,23.995943553745747,152.0000021159649,40000091.184,36160740.064,36160741.056,36160741.056,959837732.0,959837732.0,0.0,0.0,0.0959835543958894,0.0959835543958894,0.0,0.0
4.0,65.0399691015482,3178.941248893738,-15754.365761069115,0.9037950352430344,0.06734326273211627,5.512967138922657,6.854801445936435,0.9038474528789521,0.9037950352430344,0.0288579048634856,0.06734326273211627,0.58633334171772,0.0,0.0,250.0,8560766.1956,16434452.821333334,0.0,220518682.504,9999961836.0,9038474429.0,9037950241.0,9037950241.0,673432620.0,0.9038508923565456,0.9037984733564938,0.9037984733564938,1.0,0.06734351900980595,250.0,225.9487588107586,16.835815683029068,1378.2417847306642,1713.7003614841087,225.961863219738,225.9487588107586,7.2144762158714,16.835815683029068,146.58333542943,39999847.344,36153897.716,36151800.964,36151800.964,673432620.0,673432620.0,0.0,0.0,0.06734351900980595,0.06734351900980595,0.0,0.0
5.0,50.67448841035366,3418.601583957672,-22886.719794273376,0.8900886232852936,0.09901154498546384,4.760386132240296,6.063184696674347,0.8900885903835296,0.8900886232852936,0.01088490271405317,0.09901154498546384,0.5666666767597198,0.0,0.0,250.0,9010960.8984,3398741.8453333336,0.0,190415443.432,9999850260.0,8900885796.0,8900886124.0,8900886124.0,990115440.0,0.8901019079859702,0.8901019407864613,0.8901019407864613,1.0,0.09901302662106062,250.0,222.5221558213234,24.75288624636596,1190.0965330600739,1515.7961741685867,222.52214759588242,222.5221558213234,2.7212256785132922,24.75288624636596,141.66666918992996,39999401.04,35603543.184,35603544.496,35603544.496,990115440.0,990115440.0,0.0,0.0,0.09901302662106062,0.09901302662106062,0.0,0.0
6.0,63.38671264052391,3697.2185564041138,-18401.783036417328,0.9679473128914833,0.02427496548106137,4.445455158142373,5.079680178689887,0.9726410970687867,0.9679473128914833,0.007769808270968497,0.02427496548106137,0.5096666752099991,0.0,0.0,250.0,8494879.639800001,2640203.776,0.0,177818204.376,9999920768.0,9726410871.0,9679472995.0,9679472995.0,242749652.0,0.9726487935909214,0.9679549688008088,0.9679549688008088,1.0,0.024275157536928195,250.0,241.98682822287083,6.068741370265343,1111.3637895355932,1269.9200446724717,243.16027426719666,241.98682822287083,1.9424520677421242,6.068741370265343,127.41666880249977,39999683.072,38905643.484,38717891.98,38717891.98,242749652.0,242749652.0,0.0,0.0,0.024275157536928195,0.024275157536928195,0.0,0.0
7.0,168.22867883741856,3185.936273574829,-3860.6480677426152,0.9934849436283112,0.00351138323917985,0.8658634196389612,0.9690962296865328,0.9944009819030761,0.9934849436283112,0.0029847823358577445,0.00351138323917985,0.5886666729450226,0.0,0.0,250.0,1505114.4478,1510749.1840000001,0.0,34634536.444,9999810676.0,9944009720.0,9934849318.0,9934849318.0,35113832.0,0.9944197987533979,0.9935037412102301,0.9935037412102301,1.0,0.003511449680169925,250.0,248.3712359070778,0.8778458097949624,216.4658549097403,242.2740574216332,248.60024547576904,248.3712359070778,0.7461955839644361,0.8778458097949624,147.16666823625565,39999242.704,39776038.88,39739397.272,39739397.272,35113832.0,35113832.0,0.0,0.0,0.003511449680169925,0.003511449680169925,0.0,0.0
8.0,43.95948597788811,3407.5690116882324,-27605.02578639984,0.8652873924970627,0.11133512225188315,5.867855229258537,6.890378484487534,0.8652873629331589,0.8652873924970627,0.023375073859584518,0.11133512225188315,0.3900000103712082,0.0,0.0,250.0,11481444.646,1695104.3413333334,0.0,234714205.816,9999975420.0,8652873522.0,8652873795.0,8652873795.0,1113351208.0,0.8652894790815396,0.8652895063816067,0.8652895063816067,1.0,0.1113353944623996,250.0,216.32184812426567,27.833780562970787,1466.9638073146343,1722.5946211218834,216.32184073328972,216.32184812426567,5.8437684648961294,27.833780562970787,97.50000259280205,39999901.68,34611494.088,34611495.18,34611495.18,1113351208.0,1113351208.0,0.0,0.0,0.1113353944623996,0.1113353944623996,0.0,0.0
9.0,93.27123108506203,3397.2177877426147,-9756.20141556114,0.9409685969352722,0.051199136974290016,2.5191036911802365,2.991302731493488,0.9409686274528504,0.9409685969352722,0.007827772537173587,0.051199136974290016,0.4000000110268593,0.0,0.0,250.0,4944865.8938,622276.2666666667,0.0,100764146.616,9999955308.0,9409686154.0,9409685842.0,9409685842.0,511991364.0,0.9409728207957307,0.9409727895955913,0.9409727895955913,1.0,0.05119936522020304,250.0,235.24214923381805,12.799784243572503,629.7759227950592,747.825682873372,235.24215686321259,235.24214923381805,1.9569431342933967,12.799784243572503,100.00000275671482,39999821.232,37638744.616,37638743.368,37638743.368,511991364.0,511991364.0,0.0,0.0,0.05119936522020304,0.05119936522020304,0.0,0.0
