training_seed,run_labels,has_training_stop,completed_updates,stop_reason,selected_update,selected_reward_sum,selected_processed_ratio,selected_drop_ratio,selected_D_sys,final_update,final_reward_sum,final_processed_ratio,final_drop_ratio,final_D_sys
10331,seed10331_20260714_121929_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,125,36.860436477465555,0.6120484728678132,0.3391914455932993,21.376246809534727,375,25.919834091095257,0.2318784318891687,0.6923774393309581,142.54836759948475
21893,seed21893_20260714_125530_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,75,26.82295819511637,0.2691653267645742,0.6562671925089308,106.93513671774792,375,24.022746343398467,0.2666027687207521,0.6560866268214723,119.46858003686228
36467,seed36467_retry2_20260714_142500_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,200,40.23999267118052,0.7705945892179741,0.198957170148201,14.658943296955131,375,26.933136714156717,0.3314998528182504,0.6028846510838782,58.59654551592958
45211,seed45211_20260712_124615_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,250,66.59770894609392,0.912213217722252,0.0728514018943242,5.797131479107183,375,61.11678313463926,0.9018500817641616,0.0774409712724209,7.231997734100326
48761,seed48761_20260714_114609_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,175,38.367147385375574,0.68219702807907,0.2655262573124982,17.963512132203206,375,26.989395427983258,0.2912766589742538,0.6402403986457669,75.41400398998809
59023,seed59023_20260714_122343_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,150,41.02673732745461,0.7425853296434507,0.2313655737657623,12.259697026224805,375,31.035628283396363,0.3393358227970312,0.5934735287130551,71.11579393973948
64217,seed64217_20260714_130007_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,225,53.10381521249656,0.8609539252445102,0.1238604250018252,6.208580626921357,375,44.41762333211955,0.7779734555194154,0.2026199662487024,11.686787258500727
73129,seed73129_20260712_124615_bootstrapgae_nocompile,True,425,checkpoint_reward_plateau,325,37.19436391466297,0.6963899484942667,0.2690436147696127,15.124913827478888,425,36.94193914439529,0.6604795008804649,0.3013073863201029,17.088896061696115
87539,seed87539_retry2_20260714_142500_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,300,66.8298994791694,0.9162201237808912,0.0688333164628275,5.995771128997335,375,55.70620356162544,0.8292676395215095,0.1551682136345916,7.05573196066536
91457,seed91457_20260712_124615_bootstrapgae_nocompile,True,375,checkpoint_reward_plateau,175,39.28159509296529,0.7436530627760725,0.2121904978073528,14.531423471124349,375,33.771530863596126,0.5023610165934661,0.4430737471590769,32.2625495942384
