method,row_type,training_seed,checkpoint,n_eval_seed_bases,episodes_per_eval_seed_base,total_episodes,checkpoint_path,Reward_mean,Reward_std_eval_seed_base,Processed_mean,Processed_std_eval_seed_base,Drop_mean,Drop_std_eval_seed_base,Backlog_mean,Backlog_std_eval_seed_base,D_sys_mean,D_sys_std_eval_seed_base,Collision_mean,Collision_std_eval_seed_base
GlobalCritic,learned,45211,final,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed45211_20260712_124615_bootstrapgae_nocompile/final.pt,66.87193437075864,1.8152867426115682,0.8931201382778452,0.016438817105060493,0.08136326537658688,0.005785815256552608,5.383397279735004,0.31859222806964316,7.671435551369793,0.8410913260840357,0.015625,0.015625
GlobalCritic,learned,45211,selected,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed45211_20260712_124615_bootstrapgae_nocompile/best_checkpoint.pt,73.51543795363978,0.7410525488473244,0.9056086783935315,0.003025264607523881,0.0773326388646469,0.005564157616160697,4.454499330478109,0.16141230903270407,6.096222674133847,0.1029909521187639,0.005208333333333333,0.009021097956087904
GlobalCritic,learned,73129,final,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed73129_20260712_124615_bootstrapgae_nocompile/final.pt,35.05356684140861,0.7792172715399734,0.6021945659928014,0.025416680263273806,0.35478883365306474,0.020833000615637667,10.244777699392031,0.2142918087942011,24.197481806228335,1.586565470211175,0.026041666666666668,0.009021097956087902
GlobalCritic,learned,73129,selected,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed73129_20260712_124615_bootstrapgae_nocompile/best_checkpoint.pt,35.31135672078623,0.4188940982568376,0.6514988148668447,0.018269461738263583,0.3060173237095673,0.02119819971158599,8.777100594295915,0.6033370072815405,20.729225532936326,2.661727571773002,0.036458333333333336,0.018042195912175804
GlobalCritic,learned,91457,final,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed91457_20260712_124615_bootstrapgae_nocompile/final.pt,28.281063758690532,0.6159430918907988,0.446161233411041,0.012280271876678631,0.46163133728284816,0.007643426763611829,12.487106767433362,0.0635070600975675,38.44518665725848,2.219823421863383,0.3125,0.027063293868263706
GlobalCritic,learned,91457,selected,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed91457_20260712_124615_bootstrapgae_nocompile/best_checkpoint.pt,33.2200418189168,1.1188814843635466,0.6188573993941803,0.01977028169692411,0.32870914372662646,0.009662819781879044,9.377730983499228,0.10234184049703528,21.803054173217316,0.8287343495805538,0.07291666666666667,0.039322054350368486
MAPPO-like,learned,45211,final,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed45211_20260712_0016_resume_u0100_bootstrapgae_native_nocompile/final.pt,26.589751155389596,0.6894539617736185,0.4914486590549363,0.0030905923790476315,0.39095769483108905,0.00837232661253288,16.702380692796947,0.2943439374708365,39.549005720121244,0.1474416492850102,0.3333333333333333,0.06314768569261532
MAPPO-like,learned,45211,selected,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed45211_20260712_0016_resume_u0100_bootstrapgae_native_nocompile/best_checkpoint.pt,29.30524486918625,1.1024215475090917,0.5399964546590581,0.010188434682915368,0.3562937398321439,0.020348513523788653,16.98219616838294,0.4691959624000845,34.442164795710056,1.7182703205601895,0.234375,0.0625
MAPPO-like,learned,73129,final,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed73129_20260712_150723_bootstrapgae_native_nocompile/final.pt,26.718761699461727,0.7883184093264128,0.4953713664665578,0.007638293836827952,0.38121882562762516,0.010178196929928421,16.786054934889137,0.03379254668350964,38.157195668399616,0.9111786243747007,0.3333333333333333,0.05487319662944135
MAPPO-like,learned,73129,selected,3,64,192,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed73129_20260712_150723_bootstrapgae_native_nocompile/best_checkpoint.pt,26.718761699461727,0.7883184093264128,0.4953713664665578,0.007638293836827952,0.38121882562762516,0.010178196929928421,16.786054934889137,0.03379254668350964,38.157195668399616,0.9111786243747007,0.3333333333333333,0.05487319662944135
