method,training_seed,remote_run_dir,training_wall_clock_sec_from_iteration_sum,training_wall_clock_hours_from_iteration_sum,gpu,num_envs,rollout_env_steps,rollout_transitions_per_update,selected_update,final_update,completed_updates,max_updates,stop_reason,resume_run,selected_reward_sum_checkpoint_eval,final_reward_sum_checkpoint_eval
GlobalCritic,45211,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed45211_20260712_124615_bootstrapgae_nocompile,2147.896097675315,0.5966378049098098,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,250,375,375,700,checkpoint_reward_plateau,False,66.59770894609392,61.11678313463926
GlobalCritic,73129,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed73129_20260712_124615_bootstrapgae_nocompile,2284.776715959306,0.634660198877585,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,325,425,425,700,checkpoint_reward_plateau,False,37.19436391466297,36.94193914439529
GlobalCritic,91457,runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed91457_20260712_124615_bootstrapgae_nocompile,2000.808288043947,0.5557800800122075,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,175,375,375,700,checkpoint_reward_plateau,False,39.28159509296529,33.771530863596126
MAPPO-like,45211,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed45211_20260712_0016_resume_u0100_bootstrapgae_native_nocompile,1372.7635633515893,0.3813232120421081,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,450,475,475,700,checkpoint_reward_plateau,True,33.71944301505573,32.09904977725819
MAPPO-like,73129,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed73129_20260712_150723_bootstrapgae_native_nocompile,1629.9424318922684,0.4527617866367412,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,425,450,450,700,checkpoint_reward_plateau,False,33.29853626200929,33.25077120796777
MAPPO-like,91457,runs/phase4_learning_ablation/3uav20gu_t250/mappo_like_flat_actor_critic_stabilized/seed91457_20260712_202812_bootstrapgae_native_nocompile,1598.2743237918476,0.44396508994217987,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,325,425,425,700,checkpoint_reward_plateau,False,33.22153658280149,32.972300852648914
RelCritic,45211,runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile,4731.452397802146,1.3142923327228184,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,225,375,375,700,checkpoint_reward_plateau,False,69.19868649216369,46.55868350202218
RelCritic,73129,runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile,4811.827756293002,1.3366188211925005,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,275,375,375,700,checkpoint_reward_plateau,False,69.88882738631219,68.60586650436744
RelCritic,91457,runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile,2900.850456097629,0.8057917933604525,friday GPU0/GPU1 (formal queue placement retained in status logs),64,250,16000,525,625,625,700,checkpoint_reward_plateau,True,67.13627109583467,60.54118931968696
